Genes,U1.1_1.2,U1.2_1.2,X215.1_1.2,X215.2_1.2,X478.1_1.2,X478.2_1.2
"SAR2228,NA,conserved_hypothetical_protein",3943,4508,3167,4126,3690,3422
"SAR2229,NA,hypothetical_protein",17087,15017,14034,13772,16351,12790
"SAR2230,NA,putative_membrane_protein",3023,2762,2247,2276,3131,2389
"SAR2231,NA,putative_mannose-6-phosphate_isomerase",9640,8048,7471,7015,10631,7661
"SAR2232,NA,conserved_hypothetical_protein",3070,5384,4588,7977,9331,10151
"SAR2233,czrA,zinc_and_cobalt_transport_repressor_protein",7297,5440,5558,5671,2781,2004
"SAR2234,czrB,zinc_resistance_protein",18295,14823,13605,14291,7155,5687
"SAR2235,NA,putative_membrane_protein",54399,60717,51246,48819,75853,69362
"SAR2236,NA,putative_transposase_pseudogene",9,10,11,8,14,6
"SAR2238,NA,transposase_fragment",525,465,426,353,1006,778
"SAR2239,NA,hypothetical_protein",770,875,622,605,697,577
"SAR2240,NA,haloacid_dehalogenase-like_hydrolase",6100,6529,5463,6042,6705,5839
"SAR2241,NA,ABC_transporter_ATP-binding_protein",1386,1152,1048,1169,874,730
"SAR2242,glmS,glucosamine--fructose-6-phosphate_aminotransferase_[isomerizing]",45509,51903,57548,49695,108004,86335
"SAR2243,NA,hypothetical_protein",10,7,5,9,10,12
"SAR2244,mtlA,PTS_system,_mannitol-specific_IIBC_component",2801,2404,2932,2336,2308,1812
"SAR2245,NA,putative_transcriptional_antiterminator",3743,4216,4051,4847,7092,6946
"SAR2246,mtlF,PTS_system,_mannitol-specific_IIA_component",1174,1579,1717,2458,3707,3748
"SAR2247,mtlD,putative_mannitol-1-phosphate_5-dehydrogenase",3178,3970,5358,6968,9971,11311
"SAR2248,fmtB,putative_surface_anchored_protein_pseudogene",4971,4755,3606,4490,3469,2791
"SAR2253,NA,putative_exported_protein",19448,18171,16870,16771,22545,19245
"SAR2254,NA,putative_membrane_protein",23689,20782,20628,18901,26390,19616
"SAR2255,rocF,arginase",4047,6940,3998,5118,7995,6823
"SAR2256,NA,conserved_hypothetical_protein",12389,13515,11214,11842,14290,12467
"SAR2257,NA,putative_transport_protein_pseudogene",3752,4281,3108,3780,4634,4130
"SAR2259,NA,putative_membrane_protein",1703,2035,1611,1514,2057,1852
"SAR2260,NA,putative_transport_protein",4723,4665,3717,3769,4776,3888
"SAR2261,NA,putative_membrane_protein",3730,4121,3463,3438,5222,4398
"SAR2262,NA,putative_UTP--glucose-1-phosphate_uridylyltransferase",9424,10182,8690,8581,12808,10889
"SAR2263,NA,putative_membrane_protein",1970,2570,1800,2101,2136,2021
"SAR2264,NA,conserved_hypothetical_protein",2179,5263,2384,3130,4828,6936
"SAR2265,NA,putative_membrane_protein",3869,4229,3699,3225,6746,4115
"SAR2266,NA,FecCD_transport_family_protein",762,825,621,678,731,600
"SAR2267,NA,FecCD_transport_family_protein",603,485,358,455,500,391
"SAR2268,NA,putative_transport_system_binding_lipoprotein",1036,1106,772,717,949,914
"SAR2269,NA,hypothetical_protein",2563,3198,2760,3568,4954,4714
"SAR2270,NA,hypothetical_protein",3760,4780,3434,4929,6792,6228
"SAR2271,NA,putative_membrane_protein",1118,1114,822,978,1222,1030
"SAR2272,NA,hypothetical_protein",5684,5586,4333,4619,5887,4909
"SAR2273,asp23,alkaline_shock_protein_23",88730,166061,141869,273253,336470,376254
"SAR2274,NA,putative_membrane_protein",10986,24443,20926,39891,48772,58445
"SAR2275,NA,putative_membrane_protein",43236,93152,72272,145971,163750,191807
"SAR2276,opuD2,glycine_betaine_transporter_2",3628,6107,5570,12623,16880,17597
"SAR2277,NA,putative_zinc-binding_dehydrogenase",3840,4001,3398,3771,3642,2862
"SAR2278,NA,putative_zinc-binding_dehydrogenase",9180,10766,9310,10981,12264,11105
"SAR2279,NA,putative_exported_protein",2900,3232,2768,3257,3793,3414
"SAR2280,lacG,6-phospho-beta-galactosidase",702,649,725,690,634,528
"SAR2281,lacE,PTS_system,_lactose-specific_IIBC_component",432,476,468,492,446,351
"SAR2282,lacF,PTS_system,_lactose-specific_IIA_component",32,42,47,43,32,38
"SAR2283,lacD,tagatose_1,6-diphosphate_aldolase",132,136,179,153,124,109
"SAR2284,lacC,tagatose-6-phosphate_kinase",102,135,141,104,130,87
"SAR2285,lacB,galactose-6-phosphate_isomerase_LacB_subunit",59,84,77,84,55,54
"SAR2286,lacA,galactose-6-phosphate_isomerase_LacA_subunit",84,83,79,67,84,73
"SAR2287,lacR,lactose_phosphotransferase_system_repressor",4439,4364,3949,3628,4919,3655
"SAR2288,NA,Sir2_family_protein",2517,2847,2178,2475,2377,2071
"SAR2289,NA,hypothetical_protein",223,277,167,191,229,236
"SAR2289a,NA,hypothetical_protein",89,95,60,52,60,46
"SAR2290,NA,aldo/keto_reductase_family_protein",3216,3394,2973,3221,4034,3303
"SAR2291,NA,MerR_family_regulatory_protein",606,712,633,624,825,520
"SAR2292,hysA2,hyaluronate_lyase_precursor_2",1434,1424,1183,1239,1719,1307
"SAR2293,NA,peptidase_family_M23/M37_protein",3802,4198,3514,3773,4789,4128
"SAR2294,NA,hypothetical_protein",3728,4550,3550,3968,4506,3999
"SAR2295,NA,putative_exported_protein",3585,6625,4605,9073,10753,11133
"SAR2296,NA,conserved_hypothetical_protein",25162,25722,24951,26119,24707,19986
"SAR2297,NA,putative_acetolactate_synthase",53100,44723,49241,50090,59207,41639
"SAR2297a,NA,hypothetical_protein",96,48,62,48,55,40
"SAR2297b,NA,hypothetical_protein",151,288,142,219,255,208
"SAR2298a,NA,hypothetical_protein_fragment",1083,1075,1015,918,1238,975
"SAR2299,NA,hypothetical_protein",5438,5924,4865,4894,6477,5256
"SAR2300,rpsI,30S_ribosomal_protein_S9",49984,57039,45037,44386,81273,69590
"SAR2301,rplM,50S_ribosomal_protein_L13",36716,33578,29274,27809,64585,49513
"SAR2303,NA,putative_cobalt_transport_protein",3676,3523,2739,3264,3501,3157
"SAR2306,NA,putative_insertion_element_protein",1,0,0,0,1,0
"SAR2307,NA,putative_transposase",26,29,28,35,23,20
"SAR2308,rplQ,50S_ribosomal_protein_L17",34881,39918,35756,37144,44269,34857
"SAR2309,rpoA,DNA-directed_RNA_polymerase_alpha_chain",107326,117917,106603,111011,130854,104278
"SAR2310,rpsK,30S_ribosomal_protein_S11",45273,51078,45344,47656,56556,43597
"SAR2311,rpsM,30S_ribosomal_protein_S13",35258,36872,32098,35366,40055,31574
"SAR2312,rpmJ,50S_ribosomal_protein_L36",11535,11576,10414,10870,12353,10838
"SAR2313,infA,translation_initiation_factor_IF-1",28650,30827,27739,28711,33573,27698
"SAR2314,adk,adenylate_kinase",73059,85604,75436,76587,94300,78718
"SAR2315,secY,preprotein_translocase_SecY_subunit",124633,146042,126756,129943,159390,132266
"SAR2316,rplO,50S_ribosomal_protein_L15",41261,49318,44304,43566,56736,46673
"SAR2317,rpmD,50S_ribosomal_protein_L30",17937,18772,16628,16660,22039,18472
"SAR2318,rpsE,30S_ribosomal_protein_S5",53052,57780,49212,51289,64676,53673
"SAR2319,rplR,50S_ribosomal_protein_L18",38834,43023,36619,38123,50112,40871
"SAR2320,rplF,50S_ribosomal_protein_L6",52883,62737,52168,51788,72741,58812
"SAR2321,rpsH,30S_ribosomal_protein_S8",45120,49447,41159,42438,58170,47172
"SAR2322,rpsN,30S_ribosomal_protein_S14",14025,15512,12434,13058,17921,14443
"SAR2323,rplE,50S_ribosomal_protein_L5",38232,42221,34277,36112,47254,37733
"SAR2324,rplX,50S_ribosomal_protein_L24",27623,30072,24589,24516,34175,28152
"SAR2325,rplN,50S_ribosomal_protein_L14",28182,30493,24256,25329,34817,27799
"SAR2326,rpsQ,30S_ribosomal_protein_S17",25702,28954,22029,22378,31585,26580
"SAR2327,rpmC,50S_ribosomal_protein_L29",14137,15998,12190,12003,17417,15441
"SAR2328,rplP,50S_ribosomal_protein_L16",31996,34667,26689,27576,39068,32565
"SAR2329,rpsC,30S_ribosomal_protein_S3",58880,65403,47690,50649,74957,61560
"SAR2330,rplV,50S_ribosomal_protein_L22",25650,29410,20905,22599,33655,27813
"SAR2331,rpsS,30S_ribosomal_protein_S19",26438,28070,19892,21622,33746,27448
"SAR2332,rplB,50S_ribosomal_protein_L2",95412,105151,75289,82044,124941,103797
"SAR2333,rplW,50S_ribosomal_protein_L23",20014,23198,15614,16707,27544,23616
"SAR2334,rplD,50S_ribosomal_protein_L4",47869,52799,36210,39028,66458,54927
"SAR2335,rplC,50S_ribosomal_protein_L3",54399,56855,39408,41646,79552,63486
"SAR2336,rpsJ,30S_ribosomal_protein_S10",29940,29225,20544,21114,44901,33185
"SAR2337,NA,putative_membrane_protein",5301,7157,5550,5865,5786,5659
"SAR2338,NA,xanthine/uracil_permeases_family_protein",31470,37553,34554,30823,75241,64917
"SAR2339,NA,putative_DNA_topoisomerase",7373,7771,6372,7305,9123,7764
"SAR2340,NA,acetyltransferase_GNAT_family_protein",9463,11637,8404,9484,8514,7299
"SAR2341,glcU,glucose_uptake_protein",6515,6232,4564,5098,5616,5164
"SAR2342,NA,putative_membrane_protein",2135,1857,1576,1600,2048,1436
"SAR2343,NA,conserved_hypothetical_protein",3575,4344,3278,3261,3998,3059
"SAR2344,NA,putative_membrane_protein",7766,8491,6400,6547,7682,6949
"SAR2345,NA,AcrB/AcrD/AcrF_family_protein",16994,17197,12309,16252,15136,14816
"SAR2346,fmhB,putative_peptidoglycan_pentaglycine_interpeptide_biosynthesis_protein",14708,14484,12435,13079,19401,16675
"SAR2347,NA,putative_membrane_protein",1473,1571,1462,1537,1674,1422
"SAR2348,NA,hypothetical_protein",3705,3683,3093,3407,3669,2639
"SAR2349,NA,MarR_family_regulatory_protein",526,400,385,346,864,597
"SAR2350,NA,putative_transporter_protein",3027,3083,2291,2594,3568,3160
"SAR2351,NA,hypothetical_protein",3514,4187,3368,3269,3288,2681
"SAR2352,moaA,putative_molybdenum_cofactor_biosynthesis_protein_A",7100,7357,6056,6894,9403,7601
"SAR2353,mobA,putative_molybdopterin-guanine_dinucleotide_biosynthesis_protein_A",3150,3145,2673,3077,4013,3081
"SAR2354,moaD,putative_molybdopterin-synthase_small_subunit",1176,1029,890,904,1342,942
"SAR2355,moaE,putative_molybdopterin-synthase_large_subunit",2719,2083,2088,1894,2527,1785
"SAR2356,mobB,putative_molybdopterin-guanine_dinucleotide_biosynthesis_protein_B",2812,2364,2234,2055,2721,2032
"SAR2357,moeA,putative_molybdenum_cofactor_biosynthesis_protein",5617,5173,4303,4411,5774,4502
"SAR2358,moaC,putative_molybdenum_cofactor_biosynthesis_protein_C",6374,6126,4839,4909,5354,4034
"SAR2359,moaB,putative_molybdenum_cofactor_biosynthesis_protein_B",2413,2227,1836,1979,2579,2171
"SAR2360,moeB,putative_molybdopterin_synthase_sulfurylase",5076,4694,3926,4009,5783,4434
"SAR2361,modC,putative_molybdenum_transport_ATP-binding_protein",9537,9491,7277,7405,7062,5638
"SAR2362,modB,putative_molybdenum_transport_system_permease_protein",12795,12686,9838,10021,9096,6947
"SAR2363,modA,putative_molybdate-binding_lipoprotein_precursor",24337,27013,20276,21076,17146,14289
"SAR2364,NA,FdhD/NarQ_family_protein",11543,10944,9975,9918,11451,8408
"SAR2365,NA,acetyltransferase_GNAT_family_protein",2574,2480,1870,2016,2187,1790
"SAR2366,NA,BioY_family_protein",1564,1464,1140,1198,1338,1098
"SAR2367,NA,putative_inosine-uridine_preferring_nucleoside_hydrolase",1934,1902,1480,1563,1487,1264
"SAR2368,NA,putative_ferrichrome-binding_lipoprotein_precursor",3937,3397,2703,2700,3185,2560
"SAR2369,NA,conserved_hypothetical_protein",13199,12951,11388,11436,8343,7988
"SAR2370,NA,hypothetical_protein",79,49,89,55,86,64
"SAR2371,NA,putative_membrane_protein",3267,3160,3369,3410,3217,2517
"SAR2372,ureA,urease_gamma_subunit",2160,2019,2187,2410,2536,1766
"SAR2373,ureB,urease_beta_subunit",3556,2998,3715,3870,4229,2963
"SAR2374,ureC,urease_alpha_subunit",17040,14811,18574,20107,20353,14346
"SAR2375,ureE,urease_accessory_protein_UreE",4715,4369,5440,5603,5742,4214
"SAR2376,ureF,urease_accessory_protein_UreF",6523,6229,7721,7782,7775,6067
"SAR2377,ureG,urease_accessory_protein_UreG",6859,6636,7773,7925,8093,5928
"SAR2378,ureD,urease_accessory_protein_UreD",9252,9109,11097,11105,11379,8506
"SAR2379,sarR,staphylococcal_accessory_regulator_A_homologue",22506,27254,19489,17963,20687,16107
"SAR2380,NA,hypothetical_protein",3028,4454,2873,3216,3220,3482
"SAR2381,NA,hypothetical_protein",1002,978,755,740,863,765
"SAR2382,NA,putative_transcriptional_regulator",4620,3595,3573,2792,3880,2870
"SAR2383,NA,putative_exported_protein",20089,12027,12077,7940,27720,17456
"SAR2384,NA,hypothetical_protein",4862,16035,6051,13289,13581,16732
"SAR2385,NA,putative_Na+/H+_antiporter",6177,6902,5391,9550,11565,11192
"SAR2386,NA,putative_dehydrogenase",11062,13858,9532,16284,18784,17962
"SAR2387,NA,putative_membrane_protein",4868,5680,4306,4317,4075,3426
"SAR2388,NA,putative_exported_protein",24138,15979,13771,12307,12260,10068
"SAR2389,NA,putative_D-isomer_specific_2-hydroxyacid_dehydrogenase",15424,19024,13430,15286,13660,12515
"SAR2390,NA,putative_monooxygenase",9279,9111,7266,6890,8353,6953
"SAR2391,NA,putative_N-acetylmuramoyl-L-alanine_amidase",9521,8574,6816,7272,9113,7479
"SAR2391a,NA,putative_membrane_protein",1340,1636,1243,1119,1555,1365
"SAR2392,NA,conserved_hypothetical_protein",9528,10338,10824,12341,12558,12704
"SAR2393,NA,putative_bifunctional_protein",52951,54131,50708,62167,73258,64605
"SAR2394,NA,putative_exported_protein",15752,13972,10632,11124,11418,9549
"SAR2395,NA,inositol_monophosphatase_family_protein",2793,3056,2292,2708,3004,2469
"SAR2396,NA,DeoR_family_regulatory_protein",8446,9572,7254,7883,6878,5098
"SAR2397,NA,putative_membrane_protein",7701,7355,6944,5980,11145,8365
"SAR2398,NA,hypothetical_protein",202,213,166,176,179,151
"SAR2399,NA,putative_transcription_regulator",17622,22921,17762,18253,22540,17911
"SAR2400,NA,putative_amino_acid_permease",16462,17776,12165,14172,14372,12713
"SAR2401,NA,putative_membrane_protein",3004,3358,2837,2881,3218,2288
"SAR2402,NA,putative_membrane_protein",1628,1868,1534,1605,1702,1453
"SAR2403,NA,putative_membrane_protein",1429,1471,966,1219,1232,1057
"SAR2404,NA,haloacid_dehalogenase-like_hydrolase",4254,4038,2598,3689,3437,2692
"SAR2405,NA,sodium/bile_acid_symporter_family_protein_pseudogene",4250,3396,2051,3022,1526,1145
"SAR2407,NA,hypothetical_protein",6539,5849,4428,4371,3782,3059
"SAR2408,NA,PTS_system,_arbutin-like_IIBC_component",1492,1915,1238,1708,2068,2052
"SAR2409,NA,putative_transcription_regulator",3491,3428,2880,2752,2651,2045
"SAR2410,NA,hypothetical_protein",8172,8091,6276,6584,6412,5853
"SAR2411,NA,putative_transport_protein",9388,8273,6862,7432,6571,5198
"SAR2412,NA,putative_membrane_protein",1608,1723,1365,1535,1538,1330
"SAR2413,NA,putative_short_chain_dehydrogenase",7281,10845,8774,17035,15793,16104
"SAR2414,NA,putative_peptidase_pseudogene",2247,1866,1500,1837,903,646
"SAR2416,hutI,putative_imidazolonepropionase",2858,2550,2515,2519,2624,2018
"SAR2417,hutU,urocanate_hydratase",2155,2092,1807,1798,2142,1770
"SAR2418,NA,LysR_family_regulatory_protein",2629,2465,2321,2141,2579,1826
"SAR2419,fosB,putative_fosfomycin_resistance_protein",600,573,498,432,675,538
"SAR2420,NA,arginase_family_protein",6952,10202,7983,12892,15332,15492
"SAR2421,NA,putative_membrane_protein",28362,22527,21980,21381,21709,19404
"SAR2422,NA,putative_ribose_5-phosphate_isomerase",7901,8726,7096,6725,8254,6800
"SAR2423,NA,conserved_hypothetical_protein",4339,3912,3786,3642,4016,2709
"SAR2424,NA,putative_aldose_1-epimerase",6102,5757,4993,4829,6160,4780
"SAR2425,NA,putative_membrane_protein",2935,2732,2322,2084,2701,2090
"SAR2426,NA,putative_membrane_protein",14178,14802,12018,12195,12993,11787
"SAR2427,NA,ABC_transporter_ATP-binding_protein",10831,10221,8832,8852,10909,8661
"SAR2428,NA,putative_membrane_protein",6724,7254,6809,5952,9546,7821
"SAR2428a,NA,hypothetical_protein",319,282,306,252,313,259
"SAR2428b,NA,hypothetical_protein",712,625,605,527,771,503
"SAR2429,NA,putative_3-methylpurine_glycosylase",800,738,734,646,829,553
"SAR2430,NA,putative_permease",3520,3351,2801,2647,5330,4102
"SAR2431,fni,isopentenyl-diphosphate_delta-isomerase",7599,7326,5664,5961,7922,6594
"SAR2432,NA,CorA-like_Mg2+_transporter_protein",4814,4940,3726,3938,4988,4014
"SAR2433,NA,hypothetical_protein",1748,1796,1512,1699,2083,1680
"SAR2434,NA,hypothetical_protein",1492,1661,1370,1476,1912,1698
"SAR2435,NA,hypothetical_protein",12169,11794,9310,10288,12173,9942
"SAR2436,NA,putative_membrane_protein",11033,11748,8938,9060,9009,6948
"SAR2437,NA,putative_transport_protein",7356,8668,6100,8296,8191,7374
"SAR2438,NA,putative_exported_protein",2193,2312,1820,2234,2522,2111
"SAR2439,NA,TetR_family_regulatory_protein",6150,6186,5877,5300,7379,4282
"SAR2440,NA,conserved_hypothetical_protein_fragment",2587,2145,2355,2175,3299,2075
"SAR2441,tcaB,teicoplanin_resistance_associated_membrane_protein",2466,2382,2126,2034,2614,2144
"SAR2442,tcaA,teicoplanin_resistance_associated_membrane_protein",11172,8596,7893,7856,10116,8091
"SAR2443,tcaR,MarR_family_regulatory_protein",3113,3935,2913,3808,5350,5399
"SAR2444,NA,putative_membrane_protein",3538,4157,3016,4386,5162,5055
"SAR2445,NA,ABC_transporter_ATP-binding_protein",601,579,287,393,198,178
"SAR2446,NA,putative_permease_protein",563,507,356,457,190,175
"SAR2447,NA,response_regulator_protein",1699,1565,1353,1523,1534,1015
"SAR2448,NA,sensor_kinase_protein",3753,3790,2936,3527,3820,3339
"SAR2449,NA,hypothetical_protein",356,382,265,347,376,316
"SAR2450,NA,putative_membrane_protein",445,464,350,355,396,318
"SAR2451,NA,putative_membrane_protein",519,518,524,482,830,647
"SAR2452,NA,ABC_transporter_ATP_binding_protein",929,961,705,944,632,480
"SAR2453,NA,putative_membrane_protein",1639,1752,1203,1496,1195,1032
"SAR2454,mqo1,putative_malate:quinone_oxidoreductase_1",11808,12067,10799,10556,14929,12254
"SAR2455,lldP2,putative_L-lactate_permease_2",219168,316088,237937,234010,240990,198330
"SAR2456,NA,hypothetical_protein",7881,8778,7273,7813,10524,8510
"SAR2457,NA,putative_lipoprotein",39945,47924,33996,46978,34487,32044
"SAR2458,NA,acetyltransferase_GNAT_family_protein",4665,4833,4049,4071,4332,3027
"SAR2459,NA,putative_zinc-binding_dehydrogenase",9332,10375,8642,9472,12008,10291
"SAR2460,NA,putative_acetyltransferase_GNAT_family_protein",657,856,626,702,850,752
"SAR2461,NA,pyridine_nucleotide-disulphide_oxidoreductase_family_protein",538,646,477,512,808,722
"SAR2462,NA,putative_membrane_protein",8034,8614,6865,6436,7689,6452
"SAR2463,NA,putative_membrane_protein",675,583,447,458,582,475
"SAR2464,NA,TetR_family_regulatory_protein",4392,4366,4002,3942,4607,3701
"SAR2465,NA,CorA-like_Mg2+_transporter_protein",6037,6353,5427,5273,6624,5793
"SAR2466,scrA,PTS_system,_sucrose-specific_IIBC_component",11408,23829,15382,16287,22456,26835
"SAR2467,NA,conserved_hypothetical_protein",1081,1657,1126,1210,1782,1683
"SAR2468,NA,AraC_family_regulatory_protein",6960,7272,6044,5831,6885,5811
"SAR2469,NA,conserved_hypothetical_protein",3434,8148,3836,6773,7106,7364
"SAR2470,NA,putative_exported_protein",26498,30671,24570,20767,25381,19112
"SAR2471,NA,putative_transposase",5,13,4,3,16,14
"SAR2472,gltT,putative_proton/sodium-glutamate_symport_protein",39219,31944,26225,27403,34341,27947
"SAR2473,NA,putative_exported_protein",8577,6045,6719,5048,8047,4177
"SAR2474,NA,MarR_family_regulatory_protein",18657,19905,15262,15134,12112,10385
"SAR2475,NA,putative_small_heat_shock_protein",3922,4814,3750,3443,4374,3839
"SAR2476,narT,nitrite_transport_protein",5898,7369,6571,5963,8888,7487
"SAR2477,NA,conserved_hypothetical_protein",211,161,157,168,246,187
"SAR2478,NA,MerR_family_regulatory_protein_pseudogene",389,355,332,322,373,292
"SAR2480,NA,putative_response_regulator",6561,6672,5197,5403,7484,5943
"SAR2481,NA,putative_histidine_kinase",14495,14313,11873,12505,15241,11865
"SAR2482,NA,hypothetical_protein",6491,7002,5667,5776,6231,5521
"SAR2483,narI,putative_nitrate_reductase_gamma_chain",3166,3958,3206,3377,3944,3612
"SAR2484,narJ,respiratory_nitrate_reductase_delta_chain",989,851,1139,982,1476,1334
"SAR2485,narH,nitrate_reductase_beta_chain",2777,2704,2970,2911,4473,3747
"SAR2486,narG,nitrate_reductase_alpha_chain",5442,6622,5262,5358,8066,6622
"SAR2487,NA,tetrapyrrole_corrin/porphyrin_methylase_family_protein",4833,4449,5129,4277,6003,4350
"SAR2488,nasE,assimilatory_nitrite_reductase_small_subunit",1252,1088,1308,1023,1536,1107
"SAR2489,nasD,nitrite_reductase_large_subunit",8889,9133,9016,7556,11265,8279
"SAR2490,NA,conserved_hypothetical_protein",1763,2405,1619,1852,2031,1771
"SAR2491,NA,acetyltransferase_GNAT_family_protein",819,709,706,673,928,729
"SAR2493,NA,putative_nitrite_transporter",11532,11575,8680,9105,11326,9311
"SAR2494,NA,putative_membrane_protein",790,1120,909,685,796,703
"SAR2495,NA,hypothetical_protein",1638,1373,1032,1168,1211,863
"SAR2496,NA,putative_solute_binding_lipoprotein",4064,4441,3215,3820,5722,4660
"SAR2497,NA,conserved_hypothetical_protein",1379,1408,1119,1158,1248,902
"SAR2498,NA,conserved_hypothetical_protein",1243,1283,959,1063,1097,815
"SAR2499,NA,putative_lipoprotein",2964,2821,2519,2373,3042,2193
"SAR2500,NA,putative_lipoprotein",1660,1647,1316,1253,1560,951
"SAR2501,fmhA,FemAB_family_protein",18985,15039,14093,13996,19126,13180
"SAR2502,NA,ABC_transporter_ATP-binding_protein",52901,61712,37617,47003,40104,43820
"SAR2503,NA,transport_system_membrane_protein",42557,46780,31259,38332,32770,35002
"SAR2504,NA,extracellular_solute-binding_lipoprotein",60051,60080,43966,49558,44214,45274
"SAR2505,NA,putative_transport_system_protein",1619,1966,1521,2042,3209,2969
"SAR2507,NA,cation_efflux_family_protein",1990,1985,1467,1584,1704,1373
"SAR2508,sbi,IgG-binding_protein",28333,30419,17242,19873,33079,31320
"SAR2509,hlgA,gamma-hemolysin_component_A_precursor",362,602,324,399,528,696
"SAR2510,hlgC,gamma-hemolysin_component_C_precursor",3320,3459,2554,2580,2337,1883
"SAR2511,hlgB,gamma-hemolysin_component_C_precursor",3018,3134,2377,2325,2286,1759
"SAR2512,NA,putative_membrane_protein",158,203,130,144,191,187
"SAR2513,NA,putative_6-carboxyhexanoate--CoA_ligase",315,313,240,260,373,336
"SAR2514,NA,putative_8-amino-7-oxononanoate_synthase",411,446,311,409,555,483
"SAR2515,bioB,putative_biotin_synthase",378,446,285,365,455,394
"SAR2516,bioA,putative_adenosylmethionine-8-amino-7-oxononanoate_aminotransferase",172,153,125,132,180,139
"SAR2517,NA,putative_dethiobiotin_synthetase",76,55,58,65,70,49
"SAR2518,NA,ABC_transporter_ATP-binding_protein",715,721,560,633,649,503
"SAR2519,NA,ABC_transporter_ATP-binding_protein",351,376,234,294,349,319
"SAR2519a,NA,hypothetical_protein",11,9,10,11,10,9
"SAR2520,NA,hypothetical_protein",18826,20810,16472,16531,16766,13856
"SAR2521,NA,putative_membrane_protein",193,685,168,381,295,292
"SAR2522,NA,putative_glycerate_kinase",7744,7249,5627,6426,6167,5138
"SAR2523,NA,putative_membrane_protein",9174,9279,6107,7171,6299,5556
"SAR2524,NA,putative_transporter_protein",7731,6487,5615,5850,5751,4628
"SAR2525,NA,hypothetical_protein",947,960,848,1108,1644,1539
"SAR2526,NA,hypothetical_protein",3350,4052,3464,3968,4920,4005
"SAR2527,NA,hypothetical_protein",566,556,415,493,509,464
"SAR2528,NA,putative_amino_acid_permease",993,1255,759,947,1342,1287
"SAR2529,NA,sodium/hydrogen_exchanger_family_protein",19283,17269,12894,14378,13785,11112
"SAR2530,NA,putative_membrane_protein",14522,13135,11087,11219,12718,9350
"SAR2531,NA,putative_exported_protein",6241,7344,5498,6624,7137,5858
"SAR2532,NA,hypothetical_protein",5799,5846,4627,4837,6407,5335
"SAR2533,NA,putative_ketopantoate_reductase",3753,2990,2259,2601,2266,1877
"SAR2534,NA,putative_transport_protein",25745,20668,17668,19918,16945,13678
"SAR2535,opuCD,putative_glycine_betaine/carnitine/choline_transport_system_permease_protein",16395,17028,12043,14360,10692,9149
"SAR2536,opuCC,putative_glycine_betaine/carnitine/choline-binding_lipoprotein_precursor",22397,22353,15488,19387,14527,12549
"SAR2537,opuCB,putative_glycine_betaine/carnitine/choline_transport_system_permease_protein",10030,9437,6591,8741,6449,5130
"SAR2538,opuCA,putative_glycine_betaine/carnitine/choline_transport_ATP-binding_protein",30916,26859,21816,26023,19545,15568
"SAR2539,NA,conserved_hypothetical_protein",8000,8925,7149,7646,8473,7429
"SAR2540,NA,putative_amino_acid_permease",16186,11734,8432,9716,7729,5671
"SAR2541,NA,putative_carboxylesterase",6220,7578,5968,7872,9309,8161
"SAR2542,NA,putative_transport_protein",5421,5075,3925,4354,5827,5016
"SAR2543,NA,putative_membrane_protein",1828,2450,2668,4697,5727,5827
"SAR2544,NA,ABC_transporter_ATP-binding_protein",686,1648,741,1657,1651,1643
"SAR2545,NA,conserved_hypothetical_protein",4876,5112,4401,4688,4633,3953
"SAR2546,NA,putative_lipoprotein",9728,10822,9744,8345,7775,5813
"SAR2547,NA,putative_membrane_protein",4772,5651,4246,4832,5566,5024
"SAR2548,NA,putative_membrane_protein",3333,3316,2991,2747,3555,2496
"SAR2549,NA,putative_transport_protein",1939,1894,1433,1554,1667,1368
"SAR2550,opp-1F,oligopeptide_transporter_putative_ATPase_domain",517,472,332,367,357,298
"SAR2551,opp-1D,oligopeptide_transporter_putative_ATPase_domain",379,425,247,337,297,289
"SAR2552,opp-1C,oligopeptide_transporter_putative_membrane_permease",309,317,232,253,285,233
"SAR2553,opp-1B,oligopeptide_transporter_putative_membrane_permease",621,733,538,543,601,540
"SAR2554,opp-1A,oligopeptide_transporter_putative_substrate_binding_domain",1735,1801,1307,1513,1915,1827
"SAR2555,NA,conserved_hypothetical_protein",136,138,96,129,148,124
"SAR2556,NA,conserved_hypothetical_protein",93,68,69,70,115,78
"SAR2557,NA,conserved_hypothetical_protein",468,460,339,347,297,255
"SAR2558,NA,conserved_hypothetical_protein",1507,2146,2550,4338,5990,6106
"SAR2559,NA,putative_short_chain_dehydrogenase",1688,2873,2394,4445,5947,6148
"SAR2560,NA,putative_transport_protein",7594,6781,4006,6116,3217,2805
"SAR2561,NA,conserved_hypothetical_protein",2379,6723,3795,8307,8493,9723
"SAR2562,NA,putative_membrane_protein",539,603,472,480,511,440
"SAR2563,NA,putative_membrane_protein",443,410,376,378,438,375
"SAR2564,NA,putative_membrane_protein_pseudogene",681,623,684,640,774,540
"SAR2565,NA,putative_exported_protein",350,418,341,349,393,336
"SAR2566,NA,putative_exported_protein",1588,1460,1310,1337,1552,1258
"SAR2567,NA,putative_short_chain_dehydrogenase",3077,2667,2345,2344,2872,2356
"SAR2568,NA,hypothetical_protein",2129,2929,1767,2729,2847,2717
"SAR2569,NA,hypothetical_protein",153982,224141,176389,161271,171120,154266
