Synonym,Raw.Counts.PAK.Replicate.1,Raw.Counts.PAK.Replicate.2,Raw.Counts.PAK.Replicate.3,Raw.Counts.PilA.Replicate.1,Raw.Counts.PilA.Replicate.2,Raw.Counts.PilA.Replicate.3,Raw.Counts.PilR.Replicate.1,Raw.Counts.PilR.Replicate.2,Raw.Counts.PilR.Replicate.3
PA4579,11,12,4,10,3,14,12,7,13
PA4580,17,27,25,21,10,12,20,17,10
PA4581,0,3,1,7,0,6,2,3,2
predicted RNA,538,421,501,377,333,304,396,378,259
PA4581.1,1,0,0,0,0,0,1,0,0
PA4582,8,0,7,7,1,11,8,5,6
PA4583,0,1,0,0,3,0,1,1,2
PA4584,5,10,10,5,3,7,3,9,7
PA4585,0,0,0,0,1,3,0,0,1
PA4586,0,2,1,0,1,4,1,0,1
predicted RNA,2017,2160,1037,1373,1740,1291,1442,711,1118
PA4587,12,12,10,13,11,14,19,15,15
PA4588,16,14,10,17,13,11,20,7,16
PA4589,9,13,9,7,18,9,8,12,8
PA4590,3,5,3,5,6,10,13,9,5
PA4591,0,3,4,0,2,1,5,3,4
PA4592,1,6,1,1,0,2,4,1,0
PA4593,0,2,1,6,0,1,3,3,1
PA4594,1,0,0,0,0,0,3,0,1
predicted RNA,1363,1464,1183,1086,1163,1134,1399,1142,1140
PA4595,15,26,18,5,14,5,16,17,15
PA4596,4,4,3,4,2,5,3,9,6
PA4597,6,10,11,9,5,6,10,12,1
PA4598,14,32,21,27,12,27,29,29,29
PA4599,2,3,3,1,1,1,3,1,0
PA4600,2,4,3,2,3,5,3,1,4
PA4601,17,52,43,30,34,48,58,48,44
predicted RNA,207,123,111,103,126,85,112,84,117
PA4602,4,13,12,13,7,12,15,15,12
predicted RNA,216,137,114,92,173,82,145,99,113
PA4603,0,0,1,1,0,0,0,1,1
PA4604,2,3,4,0,0,1,1,0,1
PA4605,0,3,1,0,0,1,0,2,0
PA4606,22,22,26,21,16,21,36,31,27
predicted RNA,12,36,23,30,21,29,29,31,26
predicted RNA,31,67,41,40,45,46,55,59,43
predicted RNA,2205,2841,2049,1928,1883,1913,2462,1882,1887
PA4607,27,47,27,38,28,22,67,41,32
predicted RNA,6544,12372,8934,8569,8531,8188,11923,8862,10215
PA4608,14,19,19,11,11,12,23,15,10
PA4609,99,241,168,225,152,275,313,251,250
PA4610,11,20,21,17,18,21,19,12,15
predicted RNA,33,29,21,17,14,16,20,7,14
PA4611,3,4,3,2,1,2,3,1,0
PA4612,0,2,1,4,1,1,3,1,4
PA4613,37,69,73,63,41,61,87,88,55
predicted RNA,576,930,691,694,654,733,787,619,842
PA4614,0,6,4,2,1,4,3,3,2
PA4615,3,0,3,3,3,5,7,6,6
predicted RNA,24,39,36,39,27,28,63,55,36
PA4616,0,8,2,1,0,1,4,4,8
predicted RNA,36,39,27,11,12,9,8,14,10
PA4617,4,8,13,10,9,9,20,13,8
PA4618,2,2,0,0,5,0,0,4,0
predicted RNA,34,43,44,44,31,29,70,50,54
PA4619,6,2,6,5,7,4,7,2,6
PA4620,1,3,2,4,0,4,5,2,1
PA4621,6,10,11,9,7,12,12,13,18
PA4622,2,7,2,6,3,1,4,3,4
PA4623,1,0,1,0,0,0,0,1,1
PA4624,11,25,23,14,9,17,16,24,21
PA4625,44,98,99,74,55,88,109,124,93
PA4626,0,2,2,1,1,4,1,4,6
PA4627,3,12,9,4,6,7,12,9,7
PA4628,12,46,34,36,34,41,54,64,45
PA4629,2,8,6,10,4,9,5,11,5
PA4630,13,19,16,22,11,14,15,13,13
PA4631,19,60,56,31,35,47,72,69,56
PA4632,5,12,8,6,4,14,7,9,8
predicted RNA,56,43,42,22,34,24,35,22,45
predicted RNA,112,104,94,68,98,65,80,77,116
PA4633,17,32,17,28,24,23,22,20,17
PA4634,71,131,97,143,112,108,58,72,46
PA4635,16,32,24,21,16,32,31,32,35
PA4635a,0,1,0,0,0,0,0,0,0
PA4636a,0,0,0,0,0,0,0,1,0
PA4636,34,74,43,44,33,62,72,85,50
PA4637,4,20,18,15,4,10,19,12,11
PA4637a,489,583,328,548,497,426,877,460,568
PA4639,12,14,8,14,5,11,11,5,11
predicted RNA,241,196,188,156,167,121,190,142,150
predicted RNA,126,149,138,102,108,95,133,142,87
PA4640,25,58,46,34,33,47,59,38,46
predicted RNA,114,89,102,79,89,59,91,76,75
predicted RNA,131,101,96,72,91,68,87,63,81
predicted RNA,138,219,166,189,141,209,216,165,177
PA4642,0,0,0,0,1,0,0,0,0
predicted RNA,62,49,40,27,36,24,33,40,27
PA4643,0,0,1,2,2,5,1,0,0
PA4644,0,2,2,1,0,1,1,2,2
PA4645,2,10,3,5,2,3,3,6,8
predicted RNA,325,522,370,383,367,364,532,350,425
PA4646,5,10,9,12,8,13,10,15,15
PA4647,11,38,41,34,21,32,41,34,30
predicted RNA,221,338,172,208,190,116,389,195,322
PA4648,2,6,4,3,2,5,6,1,4
PA4649,2,7,6,2,1,6,12,11,3
PA4650,2,17,10,9,7,9,14,13,4
PA4651,2,3,1,6,4,2,11,6,3
PA4652,19,36,22,16,15,20,27,32,22
PA4653,8,29,23,30,22,22,37,48,34
PA4654,9,34,25,29,18,27,23,30,36
predicted RNA,90,144,113,127,118,155,168,174,111
PA4655,4,14,13,11,10,8,20,8,3
predicted RNA,167,230,212,229,199,309,309,259,249
PA4656,2,8,3,3,7,3,8,7,1
predicted RNA,124,224,202,210,181,261,251,271,217
PA4657,4,1,1,9,3,2,6,9,7
PA4658,0,5,3,0,3,1,7,3,1
PA4659,0,2,2,0,0,2,1,1,1
PA4660,12,15,12,9,10,11,18,15,8
PA4661,8,17,11,18,8,30,24,25,18
predicted RNA,1140,1762,1343,1501,1218,1285,1627,1412,1353
PA4662,4,7,4,4,0,8,2,4,3
PA4663,0,2,1,0,3,1,2,0,0
predicted RNA,28,71,42,46,36,46,64,52,47
PA4664,2,2,1,0,0,3,7,4,3
PA4665,0,4,5,1,0,5,1,3,2
PA4666,3,2,6,4,6,3,0,6,4
PA4667,6,10,3,6,3,8,12,14,7
predicted RNA,123,136,107,100,94,100,130,116,103
predicted RNA,248,253,226,179,161,155,262,187,182
PA4668,2,5,6,10,10,9,11,9,1
PA4669,15,19,17,24,14,23,27,33,12
predicted RNA,1535,1517,1196,1023,1299,958,1151,1019,1091
PA4669.1,0,0,0,0,0,1,1,0,0
PA4670,8,21,7,14,6,9,7,4,7
PA4671,5,9,16,6,7,17,14,11,12
PA4672,4,6,5,7,2,0,4,7,2
PA4673,23,39,32,36,36,38,32,39,34
PA4673.1,3,7,4,4,3,4,0,3,2
PA4674,0,0,0,0,0,0,0,0,0
PA4675,17,18,21,24,21,13,20,22,21
PA4676,38,42,27,20,25,13,40,35,30
predicted RNA,24,19,13,15,12,7,19,16,11
PA4677,9,4,5,3,11,7,5,4,7
PA4678,2,8,4,5,0,2,7,4,1
PA4679,0,6,0,2,5,1,1,3,1
PA4680,2,6,8,3,0,4,5,3,3
PA4681,3,9,2,4,2,5,3,3,3
PA4682,5,6,6,4,8,2,4,5,5
predicted RNA,109,114,77,597,456,509,31,27,24
PA4683,6,16,7,6,7,9,10,10,3
PA4684,8,16,20,15,8,13,19,17,7
PA4685,3,12,3,17,6,7,9,4,10
PA4686,16,40,18,24,24,23,27,36,20
PA4687,1,6,5,0,2,7,5,3,10
predicted RNA,42,78,67,68,57,81,75,81,67
predicted RNA,55,100,86,75,60,105,116,99,78
PA4688,6,15,5,6,7,15,11,8,6
PA4689,12,22,17,18,16,22,21,24,6
PA4690,9,26,21,21,10,16,28,22,20
predicted RNA,19,60,38,36,32,37,55,44,52
PA4690a,2,4,12,4,5,6,5,5,7
PA4690.1,0,0,0,0,0,0,0,0,0
PA4690.2,4,405,14,12,6,13,7,8,6
predicted RNA,2067,67501,2558,2338,2701,1969,1252,1387,1450
PA4690.3,0,0,0,0,0,0,0,0,0
PA4690.4,0,0,0,0,0,0,0,0,0
PA4690.5,8,28,8,4,5,4,3,5,6
predicted RNA,493,10920,774,674,1025,389,331,335,374
predicted RNA,1418,1980,2132,1438,1384,1936,937,1336,1357
PA4691,5,12,8,9,4,14,13,13,11
PA4692,0,12,12,2,3,6,9,8,4
predicted RNA,503,554,489,345,354,372,335,407,400
PA4693,7,22,19,10,12,22,21,14,13
predicted RNA,4146,3079,2235,2183,2895,2113,3186,2478,2265
PA4694,3,11,9,11,1,7,8,6,8
PA4695,3,2,9,2,0,2,5,1,3
PA4696,32,54,43,27,33,51,62,52,46
PA4697,4,9,4,5,1,5,6,2,7
predicted RNA,184,233,199,188,121,167,219,163,131
PA4698,5,3,3,2,0,3,3,3,6
predicted RNA,33,49,40,40,35,33,50,55,37
PA4699,2,1,3,1,0,7,6,2,3
predicted RNA,89,162,107,98,76,93,128,128,123
PA4700,8,12,13,6,3,4,9,10,4
predicted RNA,92,87,58,46,50,37,72,54,42
PA4701,9,35,28,45,22,59,33,37,29
predicted RNA,40,31,17,26,20,13,25,24,16
predicted RNA,370,926,665,798,541,939,1248,902,996
PA4702,1,6,2,0,1,3,2,8,3
PA4703,4,6,3,4,2,4,1,5,9
predicted RNA,51,53,44,18,13,12,22,24,15
PA4704,4,14,16,14,8,13,12,17,13
predicted RNA,72,63,43,14,31,21,38,30,33
predicted RNA,231,243,140,119,116,117,119,100,113
PA4704.1,1,8,7,1,2,2,3,2,4
PA4704.2,3,4,6,0,3,3,2,2,2
predicted RNA,23,36,9,27,23,18,27,28,25
PA4705,2,6,5,6,3,8,5,10,3
PA4706,1,4,2,0,2,1,3,5,2
PA4707,0,1,3,2,0,2,6,4,1
PA4708,3,9,8,11,0,9,9,8,10
PA4709,5,4,5,6,5,3,6,4,4
PA4710,18,28,42,24,21,34,27,33,24
PA4711,2,6,0,0,0,0,0,0,1
PA4712,10,13,7,8,9,8,17,14,16
PA4713,12,11,19,7,6,16,17,12,11
PA4714,5,4,8,4,5,5,4,7,3
PA4715,52,58,60,45,55,58,52,41,64
PA4716,1,6,6,1,4,2,4,1,0
PA4717,6,9,8,5,5,10,15,7,7
PA4718,12,32,19,19,11,24,30,36,16
PA4719,15,32,30,31,14,28,24,26,17
PA4720,7,13,21,24,15,15,8,21,8
PA4721,1,14,5,2,4,4,8,4,5
PA4722,86,234,206,206,123,203,287,219,205
PA4723,2,5,6,4,5,6,11,8,5
PA4724,10,20,25,17,16,27,18,26,16
PA4724.1,3,15,12,11,11,13,8,11,9
PA4725,16,46,40,46,43,56,43,58,35
PA4726,8,16,19,15,5,11,13,19,13
PA4726.1,2,6,3,4,1,2,2,3,3
PA4726.11,196,344,385,257,262,302,650,462,515
PA4726.2,28489,64205,57455,53330,46700,69406,67218,70468,70093
PA4727,2,13,5,7,5,7,11,14,6
PA4728,2,6,4,12,6,6,15,9,10
PA4729,0,1,4,2,1,0,4,5,3
PA4730,8,10,5,6,5,9,13,10,4
PA4731,7,10,12,9,8,7,13,12,6
PA4732,18,35,29,18,19,23,31,31,22
PA4733,19,53,35,44,37,44,51,60,43
PA4734,5,11,11,15,9,21,19,22,22
PA4735,44,86,71,49,47,52,81,78,57
PA4736,2,11,4,4,4,2,8,3,6
PA4737,22,48,25,53,22,35,33,54,37
PA4738,7,21,17,7,9,5,14,15,7
PA4739,6,14,7,6,5,1,21,12,8
PA4740,14,47,33,45,24,41,70,42,48
predicted RNA,1063,1016,672,622,740,607,819,729,553
predicted RNA,913,810,605,617,712,438,567,531,564
PA4741,2,4,2,1,2,3,10,4,4
PA4742,5,23,11,8,5,4,13,8,8
predicted RNA,108,147,120,97,107,82,123,118,89
PA4743,0,3,0,0,1,0,0,3,1
PA4744,41,75,60,37,33,56,71,55,54
PA4745,12,22,19,25,13,19,17,25,15
PA4746,1,2,2,0,0,0,0,1,1
PA4746.1,0,0,0,0,0,0,0,0,0
PA4746.2,0,1,0,0,0,0,0,1,0
PA4747,1,4,4,3,0,1,0,2,2
PA4748,2,7,5,2,1,10,3,7,5
PA4749,1,4,3,4,4,6,6,7,4
PA4750,1,1,1,4,1,2,0,3,2
PA4751,34,32,42,27,16,19,45,42,31
PA4752,3,9,5,7,4,7,13,14,8
PA4753,18,25,15,7,14,12,10,11,12
predicted RNA,29,27,20,18,15,12,20,19,14
PA4754,4,7,2,6,1,2,2,6,2
PA4755,12,35,42,49,26,49,58,59,29
PA4756,41,97,95,75,62,72,83,84,88
PA4757,11,29,18,10,20,23,21,23,11
PA4758,8,12,11,8,3,8,20,14,13
PA4758.1,0,0,0,0,0,0,0,0,0
PA4759,1,14,5,5,2,6,6,10,8
predicted RNA,24,35,25,39,17,38,28,23,16
PA4760,7,21,15,14,9,15,14,12,12
predicted RNA,5,9,5,6,6,8,5,6,5
predicted RNA,2245,3123,2410,3860,2302,4279,3621,3637,2837
PA4761,14,19,18,13,6,12,27,14,19
PA4762,7,9,9,10,6,8,15,18,8
PA4763,47,78,62,54,46,38,75,61,43
predicted RNA,446,745,672,503,512,639,788,651,614
PA4764,3,14,14,7,11,6,13,9,7
PA4765,26,55,43,38,34,38,47,38,50
predicted RNA,242,265,191,138,154,138,159,179,156
PA4766,1,0,0,1,0,2,0,0,1
predicted RNA,172,288,226,232,192,185,241,196,213
PA4767,3,6,4,4,2,5,4,11,7
PA4768,3,7,11,8,6,8,13,22,3
PA4769,10,14,8,7,8,13,11,5,6
PA4770,29,74,40,67,40,65,65,77,55
PA4771,5,9,3,3,2,6,7,10,5
PA4772,5,23,13,23,9,17,15,14,19
PA4773,2,4,4,5,4,3,6,5,4
PA4774,4,20,9,6,5,9,10,17,7
PA4775,4,6,3,4,4,2,5,7,3
PA4776,3,3,2,5,4,4,6,5,1
PA4777,3,11,10,4,6,4,10,8,1
predicted RNA,321,363,281,228,266,216,332,276,231
PA4778,3,6,4,0,5,5,8,4,5
PA4779,2,1,3,1,7,1,4,0,1
PA4780,3,7,3,12,4,6,11,6,2
predicted RNA,3,3,3,3,4,3,4,3,3
predicted RNA,183,334,279,261,221,301,437,307,367
PA4781,5,12,11,13,11,9,15,12,10
predicted RNA,147,242,170,189,162,160,269,150,199
PA4782,0,0,0,0,0,1,0,0,0
PA4783,0,4,2,0,1,0,0,0,4
PA4784,1,4,3,5,1,1,6,5,9
PA4785,2,7,1,6,1,4,6,2,3
predicted RNA,28,46,23,43,29,26,41,35,26
PA4786,12,65,73,45,40,61,84,82,59
predicted RNA,5,4,2,3,3,3,3,2,2
PA4787,6,10,10,12,9,9,18,16,10
PA4788,1,2,3,1,4,2,3,3,3
PA4789,0,0,0,0,0,0,0,1,2
PA4790,5,10,3,4,2,12,4,7,1
PA4791,21,38,28,16,25,27,36,29,22
PA4792,5,13,15,9,8,13,23,15,20
predicted RNA,299,418,317,376,295,355,455,404,349
PA4793,33,39,42,22,26,25,32,24,25
PA4794,0,1,5,2,0,0,2,1,1
PA4795,0,0,1,1,2,1,2,0,2
PA4796,6,13,9,10,7,11,12,8,2
PA4797,0,0,0,0,0,0,0,0,0
PA4798,42,75,70,58,52,63,97,93,69
PA4799,1,13,2,0,4,3,6,5,6
PA4800,2,2,2,0,3,1,1,0,2
PA4801,2,4,3,1,1,5,5,2,0
PA4802,0,8,6,5,7,10,6,7,4
PA4802.1,0,3,0,1,0,0,1,1,1
PA4803,2,3,6,3,2,4,4,9,9
predicted RNA,56,58,63,58,44,48,47,57,51
PA4804,15,35,24,21,13,25,25,48,21
PA4805,4,14,8,4,5,8,8,10,11
PA4806,11,28,17,25,15,20,21,22,19
PA4807,10,33,29,37,11,41,35,32,33
PA4808,7,7,9,12,6,13,10,12,4
PA4809,3,8,2,6,6,2,7,6,1
PA4810,0,4,3,3,1,1,1,2,1
predicted RNA,2577,5221,4098,3890,3181,4320,5583,4488,4443
PA4811,7,4,0,0,2,1,11,8,2
PA4812,24,41,37,38,26,41,53,55,35
PA4813,8,10,10,10,9,12,13,19,7
PA4814,6,4,8,10,8,5,10,10,5
PA4815,1,8,2,2,0,1,1,5,2
predicted RNA,14,26,32,22,11,21,23,21,12
PA4816,3,2,2,2,1,0,3,4,2
PA4817,0,1,2,5,3,2,2,1,2
PA4818,7,6,6,2,3,3,9,3,4
PA4819,0,0,3,0,0,0,1,0,2
PA4820,3,4,6,1,6,4,6,7,3
PA4821,3,8,10,11,7,10,7,15,7
PA4822,11,18,18,17,12,17,32,23,21
PA4823,0,0,1,0,0,1,0,2,1
PA4824,0,1,1,0,0,6,1,2,2
PA4825,10,22,15,21,10,20,24,15,19
PA4826,1,3,3,2,1,1,2,1,0
PA4827,2,10,4,1,3,3,10,8,4
PA4828,17,29,17,13,12,19,32,24,21
PA4829,17,29,21,26,27,21,41,27,24
PA4830,1,0,2,0,2,0,2,0,3
PA4831,1,6,2,0,3,2,0,2,2
PA4832,5,5,8,7,4,5,8,2,3
predicted RNA,155,183,176,189,120,167,179,189,155
PA4833,2,4,2,2,1,2,2,1,0
PA4834,14,27,15,18,13,19,22,13,9
PA4835,6,8,6,3,4,6,7,14,12
PA4836,0,1,0,0,0,0,1,0,0
PA4837,2,14,8,7,5,8,11,4,6
PA4838,3,3,5,6,0,1,0,5,3
PA4839,8,31,12,9,18,18,14,10,16
PA4840,2,2,1,2,1,2,0,2,0
PA4841,1,3,1,2,2,3,9,2,2
predicted RNA,838,892,585,596,627,587,774,614,627
PA4842,11,14,17,9,9,21,17,16,13
predicted RNA,11,12,7,2,2,3,4,3,5
PA4843,13,35,24,33,24,34,39,50,25
PA4844,4,7,5,6,6,7,12,18,9
PA4845,5,17,13,15,11,12,16,14,12
predicted RNA,1406,1409,1061,805,1056,898,1284,1067,1034
PA4846,4,16,11,6,6,8,17,12,12
PA4847,4,5,5,2,2,4,8,9,7
PA4848,10,14,13,17,11,9,19,18,5
PA4849,0,4,5,0,1,0,1,4,3
PA4850,10,16,8,9,8,13,9,19,8
PA4851,4,10,12,7,6,9,13,12,8
PA4852,2,1,1,0,1,1,1,4,3
predicted RNA,24,37,37,32,36,31,39,42,27
PA4853,3,2,4,2,0,0,1,3,0
PA4854,4,7,9,7,4,7,8,10,10
PA4855,3,6,8,13,2,8,11,9,7
PA4856,7,13,6,6,6,5,8,8,7
PA4857,4,4,4,0,1,1,1,3,3
PA4858,13,28,14,10,10,7,12,19,13
PA4859,5,4,3,23,15,23,3,7,2
PA4860,1,4,5,6,7,3,8,4,7
PA4861,0,3,1,0,0,4,0,2,1
PA4862,1,3,2,1,3,3,5,1,2
PA4863,5,6,6,13,4,9,10,8,14
PA4864,0,0,3,0,0,0,1,3,0
PA4865,0,2,1,0,0,0,0,0,0
PA4866,0,2,1,1,0,0,0,2,0
PA4867,0,0,0,1,2,2,1,1,0
PA4868,24,52,39,31,20,41,52,57,36
PA4869,15,63,46,53,26,53,49,73,46
PA4870,5,2,2,1,1,3,3,1,5
PA4871,13,17,11,9,16,16,15,16,14
PA4872,10,27,13,12,11,11,19,8,13
PA4873,65,126,90,81,83,76,118,96,72
PA4874,2,5,4,0,1,1,5,2,0
PA4876,24,35,33,41,18,30,52,32,26
PA4877,47,86,66,83,58,59,110,82,65
PA4878,24,59,27,51,35,55,51,41,40
PA4879,17,38,31,30,28,30,51,43,28
predicted RNA,32,58,32,71,40,57,37,42,53
predicted RNA,334,504,373,558,397,486,620,433,317
PA4880,10,19,15,8,10,15,16,21,9
PA4881,7,0,3,2,1,1,0,4,0
PA4882,0,1,5,1,2,0,2,1,2
PA4883,2,2,0,2,0,0,0,0,2
PA4884,0,5,4,4,3,0,3,3,2
PA4885,0,0,0,2,0,2,2,0,0
PA4886,2,14,2,6,7,3,4,6,0
PA4887,1,5,9,10,5,5,12,12,12
PA4888,1,6,4,3,1,6,7,5,7
PA4889,0,1,0,1,0,0,0,1,1
PA4890,1,3,3,7,0,3,6,2,2
PA4891,0,2,0,0,1,2,0,0,0
PA4892,1,6,4,2,1,1,6,2,3
PA4893,3,2,2,0,2,6,0,4,3
PA4894,1,6,4,3,5,6,4,4,5
PA4895,0,3,2,2,5,3,4,2,0
PA4896,0,1,0,0,1,0,0,0,1
PA4897,31,50,47,44,41,47,58,55,62
PA4898,2,4,0,1,0,3,1,3,2
PA4899,2,5,8,6,5,2,5,9,7
PA4900,0,1,0,1,0,2,5,0,0
PA4901,2,4,1,3,1,1,4,3,3
PA4902,8,15,9,8,8,13,28,16,7
PA4903,0,5,2,3,2,3,0,1,1
PA4904,3,7,3,11,4,5,7,13,8
PA4905,11,24,28,21,18,30,35,30,24
PA4906,3,9,1,3,3,9,5,4,2
PA4907,8,11,13,15,11,14,16,21,8
predicted RNA,76,50,60,45,48,36,92,47,55
PA4908,0,1,0,0,3,0,0,0,0
predicted RNA,58,90,78,80,80,90,58,43,64
PA4909,0,5,1,1,2,7,2,7,11
predicted RNA,28,70,46,54,41,56,37,39,37
PA4910,1,4,3,3,3,3,0,4,5
PA4911,0,3,4,5,1,1,6,5,7
PA4912,7,12,17,12,7,23,20,18,13
predicted RNA,4,4,2,2,3,2,3,2,2
predicted RNA,16,20,12,11,15,13,13,10,14
predicted RNA,2677,3462,2959,2615,2832,2589,3216,2042,2964
PA4913,12,15,20,14,13,12,16,13,15
PA4914,6,11,9,9,11,11,10,15,12
PA4915,12,23,29,13,15,23,31,26,18
PA4916,35,173,116,121,101,138,163,120,140
PA4917,2,1,1,20,6,13,3,8,0
PA4918,1,2,2,2,3,1,1,1,0
PA4919,10,15,16,9,5,8,13,15,12
PA4920,9,12,12,13,5,7,11,15,9
PA4921,35,30,20,30,30,25,32,16,21
PA4922,11,25,16,12,16,11,36,17,20
predicted RNA,6059,6492,4254,4324,4561,3871,5679,3484,3894
PA4923,17,18,14,11,15,14,20,14,8
PA4924,10,12,4,7,8,7,7,7,4
predicted RNA,100,122,78,75,66,60,102,68,71
PA4925,3,6,4,5,6,12,12,7,5
predicted RNA,79,136,81,74,61,52,97,74,84
PA4926,0,2,2,0,1,6,5,9,3
PA4927,6,7,6,11,8,7,11,12,17
PA4928,7,36,23,22,18,24,30,35,20
PA4929,12,22,23,20,12,12,13,32,15
PA4930,3,17,3,13,8,8,19,11,10
PA4931,33,66,61,68,41,73,60,87,67
PA4932,4,2,3,6,3,3,4,3,2
PA4933,1,5,1,2,3,2,3,3,1
PA4934,1,3,1,0,6,3,2,1,2
PA4935,3,2,0,1,0,5,5,1,0
PA4936,0,2,4,1,0,1,3,0,2
PA4937,12,21,18,24,23,34,40,30,14
predicted RNA,150,183,224,141,168,93,110,149,186
PA4937.1,0,0,0,1,0,1,0,0,0
PA4937.2,0,0,0,0,0,1,0,0,0
PA4938,20,48,34,25,27,35,42,45,31
PA4939,5,13,11,12,8,9,21,16,6
PA4940,1,0,1,0,0,0,0,0,0
PA4941,10,27,19,20,13,15,19,22,13
PA4942,9,14,6,8,10,10,16,10,10
PA4943,10,5,15,10,6,7,11,13,4
PA4944,2,2,2,1,0,0,3,2,2
PA4945,10,22,16,16,5,15,22,10,13
PA4946,11,16,15,15,7,13,11,20,12
PA4947,7,29,28,22,23,26,39,52,30
PA4948,34,92,78,99,67,98,129,104,91
PA4949,3,6,4,8,2,17,11,24,7
PA4950,47,118,87,79,71,87,127,106,112
PA4951,5,6,11,5,4,6,8,9,6
PA4952,42,95,64,63,49,39,75,70,55
PA4953,9,5,8,9,10,13,14,11,7
PA4954,3,7,4,4,6,11,17,7,6
predicted RNA,47,54,42,40,45,40,69,32,43
predicted RNA,97,131,98,93,82,86,100,84,96
PA4955,12,14,15,13,13,9,19,17,12
PA4956,5,6,2,2,0,2,4,5,3
PA4957,8,13,9,9,5,15,8,7,4
predicted RNA,9,6,8,4,6,5,6,5,5
predicted RNA,193,321,225,192,139,196,261,211,192
PA4958,7,13,15,8,8,6,13,13,6
predicted RNA,209,303,260,209,175,226,384,223,175
predicted RNA,106,138,110,92,57,99,112,98,76
PA4959,11,16,11,22,13,20,11,19,10
PA4960,98,257,194,242,140,256,295,216,234
PA4961,14,19,22,19,14,16,26,25,14
predicted RNA,6,6,5,4,3,2,6,4,3
predicted RNA,4,3,4,3,3,3,2,2,3
predicted RNA,64,58,58,43,41,42,61,45,37
PA4962,1,4,0,2,1,2,1,4,2
PA4963,9,26,21,25,14,13,19,22,20
predicted RNA,27,68,70,49,38,49,62,54,46
PA4964,18,27,16,23,16,20,34,29,20
PA4965,4,3,6,3,1,6,9,9,2
PA4966,0,1,0,1,2,0,1,4,0
PA4967,3,10,11,8,7,5,11,10,9
PA4968,18,29,16,23,10,19,26,34,34
PA4969,8,13,9,4,10,4,5,10,5
predicted RNA,45,91,64,46,45,85,75,91,60
PA4970,0,9,5,0,1,2,2,7,0
predicted RNA,514,695,561,587,481,561,685,659,679
PA4971,6,2,1,2,1,3,5,2,2
PA4972,368,494,334,368,314,337,446,489,323
PA4973,29,26,19,16,15,11,47,26,25
predicted RNA,66,64,50,41,43,26,46,43,32
PA4974,36,58,53,45,45,48,68,66,34
predicted RNA,251,219,168,146,176,128,235,170,155
PA4975,19,23,17,23,23,16,20,19,17
PA4976,4,7,2,2,2,4,6,6,3
PA4977,4,2,11,2,8,6,6,8,7
PA4978,1,1,1,2,2,2,2,0,1
PA4979,1,9,5,8,4,12,11,10,7
PA4980,0,0,0,0,0,0,1,0,0
PA4981,7,15,8,6,6,2,13,17,4
PA4982,9,10,12,17,6,11,17,18,7
PA4983,3,7,6,10,2,4,4,12,8
PA4984,0,1,0,1,0,1,0,4,0
PA4985,1,0,1,0,1,1,2,0,0
PA4986,15,45,43,43,19,39,45,67,29
PA4987,11,13,11,12,8,16,17,15,3
PA4988,4,10,4,5,5,4,11,5,4
PA4989,12,25,23,15,12,25,23,30,16
PA4990,11,23,17,16,18,12,18,19,20
PA4991,9,16,14,12,11,19,17,13,14
PA4992,4,4,5,1,2,3,2,1,2
predicted RNA,50,59,74,41,50,38,72,55,46
PA4993,3,16,12,13,15,9,19,25,20
PA4994,14,38,31,23,17,22,20,31,19
PA4995,0,9,3,3,1,5,6,5,5
PA4996,9,14,8,10,5,13,15,6,6
PA4997,8,14,22,19,6,16,19,16,13
predicted RNA,82,101,97,58,53,59,63,74,60
PA4998,12,25,21,26,11,21,26,34,15
PA4999,39,116,76,83,65,109,98,98,80
predicted RNA,8,12,13,12,8,14,14,10,11
PA5000,14,27,23,27,16,27,25,28,26
PA5001,5,18,14,13,10,13,22,8,10
PA5002,9,33,17,20,9,28,34,22,25
PA5003,8,14,23,13,4,16,20,21,10
PA5004,2,4,5,3,3,4,7,5,3
predicted RNA,81,67,60,65,71,62,74,69,45
PA5005,20,47,54,41,20,47,51,52,59
predicted RNA,2,2,2,1,2,2,2,1,1
predicted RNA,71,91,60,57,55,56,65,75,64
predicted RNA,3,2,2,2,2,1,2,3,1
predicted RNA,50,57,37,42,36,43,44,49,42
PA5006,6,16,10,7,5,9,6,11,11
PA5007,1,2,5,2,0,2,2,1,2
PA5008,2,0,3,1,0,0,1,0,4
PA5009,8,5,0,3,3,8,7,7,2
PA5010,4,3,1,9,2,6,4,9,4
PA5011,5,10,9,10,6,7,3,6,7
PA5012,0,2,1,0,0,0,1,0,0
predicted RNA,1000,1019,827,653,744,628,968,756,788
PA5013,13,27,35,23,13,25,30,33,41
PA5014,13,31,34,27,22,36,41,48,36
predicted RNA,1045,1182,857,877,939,1047,1207,937,973
PA5015,43,74,62,60,36,54,65,60,50
predicted RNA,217,265,184,214,197,246,261,230,219
PA5016,15,29,28,27,14,23,43,45,23
predicted RNA,55,73,40,53,56,44,64,55,44
predicted RNA,203,211,166,128,168,156,237,169,145
predicted RNA,57,77,54,51,42,39,68,44,50
PA5017,20,50,26,24,23,37,37,31,35
PA5018,22,68,64,44,20,49,68,59,45
PA5019,60,94,80,72,60,98,134,112,82
PA5020,35,103,58,71,42,70,77,71,71
PA5021,3,4,6,2,3,6,3,5,3
PA5022,26,69,56,55,27,60,38,64,39
