,PAO1_control,PAO1_T2.5
PA3429,34,39
PA3430,59,70
predicted RNA,1118,1508
PA3431,9,16
predicted RNA,1371,2304
PA3432,2,3
PA3433,77,100
PA3434,696,666
predicted RNA,5857,4700
predicted RNA,4209,3995
PA3435,36,36
predicted RNA,1928,1840
PA3436,18,30
PA3437,66,45
PA3438,89,114
PA3439,30,37
PA3440,30,73
PA3440a,4,13
PA3441,233,205
PA3442,25,31
PA3443,14,8
PA3444,3,1
PA3445,39,17
PA3446,28,20
PA3447,18,22
PA3448,2,2
PA3449,9,7
PA3450,248,193
PA3451,148,135
predicted RNA,7258,6546
PA3452,18,30
predicted RNA,1645,1200
PA3453,9,10
PA3454,13,14
PA3455,24,24
predicted RNA,3124,2128
PA3456,2,3
PA3457,197,258
PA3458,21,15
PA3459,1184,892
PA3460,42,35
PA3461,65,64
PA3462,27,28
PA3463,25,29
PA3464,15,12
PA3465,69,75
predicted RNA,4588,4767
predicted RNA,3479,3542
predicted RNA,4817,5830
PA3466,88,89
PA3467,43,30
PA3468,33,36
PA3469,29,35
PA3470,46,66
PA3471,28,22
predicted RNA,1651,1536
predicted RNA,6609,6504
PA3472,147,121
PA3473,91,141
PA3474,11,15
PA3475,42,29
PA3476,28,54
predicted RNA,9778,9330
predicted RNA,20804,22121
PA3477,83,104
PA3478,36,55
predicted RNA,20739,26272
PA3479,31,70
PA3480,103,64
PA3481,18,27
PA3482,101,86
predicted RNA,5121,4231
PA3483,11,17
PA3484,71,58
PA3485,8,14
PA3486,81,85
PA3487,70,68
PA3488,275,235
PA3489,29,20
PA3490,4,18
PA3491,3,3
PA3492,13,13
PA3493,6,9
PA3494,62,55
PA3495,296,217
PA3496,186,256
predicted RNA,4522,4909
PA3497,187,166
PA3498,44,33
PA3499,23,23
PA3500,4,3
PA3501,8,7
PA3502,29,16
PA3504,26,31
PA3505,33,40
PA3506,14,16
PA3507,29,28
PA3508,40,34
PA3509,8,8
PA3510,14,22
PA3511,11,13
PA3512,20,16
PA3513,28,30
PA3514,27,30
PA3515,75,55
PA3516,34,48
PA3517,62,77
PA3518,21,32
PA3519,17,28
PA3520,60,28
PA3521,11,9
PA3522,37,35
PA3523,67,66
PA3524,189,222
predicted RNA,7515,6193
PA3525,100,96
predicted RNA,6171,6175
PA3526,43,56
PA3527,29,38
PA3528,260,241
PA3529,177,276
predicted RNA,52093,48433
PA3530,324,240
PA3531,169,381
PA3532,834,747
predicted RNA,17720,15735
PA3533,79,84
PA3534,5,12
PA3535,25,35
PA3536,50,17
PA3537,77,61
PA3538,84,88
PA3539,94,67
PA3540,79,81
PA3541,120,137
PA3542,40,54
PA3543,19,28
PA3544,57,51
PA3545,6.37E+02,532
PA3546,1.3E+01,10
PA3547,26,19
PA3548,58,49
PA3549,14,13
PA3550,31,37
PA3551,71,66
PA3552,16,15
PA3553,21,14
PA3554,24,28
PA3555,10,6
PA3556,9,11
PA3557,5,4
PA3558,7,12
PA3559,190,157
PA3560,4,6
predicted RNA,1035,774
predicted RNA,1143,815
predicted RNA,773,701
PA3561,4,5
predicted RNA,1004,703
predicted RNA,1607,960
PA3562,1,3
predicted RNA,786,540
predicted RNA,769,634
predicted RNA,1472,1374
PA3563,18,23
PA3564,18,31
PA3565,22,22
PA3566,80,55
PA3567,58,55
PA3568,25,33
predicted RNA,720,617
PA3569,14,13
predicted RNA,1417,1025
PA3570,42,52
predicted RNA,1998,1542
PA3571,28,30
PA3572,123,176
PA3573,290,490
PA3574,193,137
PA3574a,186,209
PA3575,23,31
PA3576,40,47
PA3577,1.12E+02,92
PA3578,1.5E+01,11
PA3579,7,21
PA3580,50,36
PA3581,51,46
predicted RNA,3450,1605
predicted RNA,2062,900
PA3582,94,76
PA3583,133,113
predicted RNA,3380,1537
PA3584,34,48
PA3585,26,23
PA3586,30,42
PA3587,22,13
PA3588,131,100
PA3589,5,5
PA3590,12,15
PA3591,7,2
PA3592,5,11
PA3593,25,17
PA3594,97,97
PA3595,45,52
PA3596,6,17
PA3597,125,114
PA3598,41,46
PA3599,59,64
PA3600,182,203
PA3601,70,101
predicted RNA,1307,997
PA3602,115,75
PA3603,46,68
PA3604,21,19
PA3605,276,225
PA3606,13,22
PA3607,430,424
PA3608,62,55
PA3609,64,64
PA3610,230,224
PA3611,1123,1145
PA3612,2034,2349
PA3613,53,71
predicted RNA,3363,4707
PA3614,72,71
PA3615,264,217
PA3616,960,905
PA3617,31,39
PA3618,5,1
PA3619,198,174
PA3620,189,190
PA3621,304,217
PA3621.1,27,55
predicted RNA,27293,24067
PA3622,147,136
PA3623,65,96
PA3624,13,19
predicted RNA,3147,2714
predicted RNA,2684,2550
PA3625,31,50
PA3626,7,32
PA3627,4,9
PA3628,29,44
predicted RNA,3608,2584
PA3629,139,157
predicted RNA,4202,3209
PA3630,34,30
PA3631,45,41
PA3632,159,118
PA3633,23,27
PA3634,49,27
predicted RNA,6684,6421
PA3635,66,109
PA3636,272,257
predicted RNA,6858,5750
PA3637,201,195
predicted RNA,5891,6721
PA3638,6,7
PA3639,22,39
predicted RNA,5351,4638
PA3640,65,67
predicted RNA,1273,1304
predicted RNA,1277,1352
PA3641,230,214
PA3642,23,14
PA3643,24,18
PA3644,57,61
predicted RNA,3475,3096
predicted RNA,7304,5136
PA3645,162,196
predicted RNA,7459,5330
PA3646,181,178
predicted RNA,1869,2214
predicted RNA,5501,4649
PA3647,72,86
PA3648,239,213
predicted RNA,2508,2628
predicted RNA,3775,3644
PA3649,91,100
predicted RNA,15962,13252
PA3650,198,197
PA3651,55,84
PA3652,14,29
predicted RNA,3337,3372
predicted RNA,6360,5838
PA3653,37,64
PA3654,835,806
predicted RNA,13035,13023
PA3655,31,85
PA3656,503,467
PA3657,130,120
predicted RNA,6356,5272
PA3658,239,217
PA3659,171,161
PA3660,18,19
PA3661,74,75
PA3662,106,145
PA3663,632,784
PA3664,19,34
PA3665,15,9
PA3666,33,23
predicted RNA,1426,1141
predicted RNA,645,1003
predicted RNA,1069,1134
PA3667,43,46
PA3668,72,125
PA3669,85,103
PA3670,25,23
PA3671,117,109
PA3672,41,44
PA3673,79,56
PA3674,121,77
predicted RNA,2865,2593
PA3675,173,126
PA3676,48,59
PA3677,16,33
PA3678,27,41
PA3679,86,87
PA3680,12,6
PA3681,9,15
PA3682,15,20
PA3683,22,16
PA3684,16,6
PA3685,13,11
PA3686,38,62
predicted RNA,4532,4296
PA3687,11,14
PA3688,136,149
PA3689,2166,2350
PA3690,22,22
predicted RNA,31259,26104
PA3691,164,211
PA3692,109,180
PA3693,37,46
PA3694,19,47
PA3695,88,94
PA3696,27,34
PA3697,56,50
PA3698,42,25
PA3699,76,74
PA3700,69,80
predicted RNA,2242,1872
predicted RNA,1732,1589
predicted RNA,2648,2502
PA3701,55,59
predicted RNA,3389,2859
predicted RNA,3418,3120
predicted RNA,2823,2691
predicted RNA,4867,4083
PA3702,26,46
PA3703,35,23
PA3704,13,11
PA3705,3,15
PA3706,59,45
PA3707,0,7
predicted RNA,3973,3988
PA3708,30,33
PA3709,192,208
PA3710,28,42
PA3711,807,883
PA3712,3,16
PA3713,84,71
PA3714,51,56
PA3715,73,71
PA3716,89,69
predicted RNA,928,906
predicted RNA,1189,921
predicted RNA,851,760
PA3717,56,74
PA3718,25,37
PA3719,15,29
PA3720,6,11
PA3721,527,403
PA3722,458,851
PA3723,39,63
predicted RNA,5508,5295
predicted RNA,8118,8613
predicted RNA,25541,16183
PA3724,65,94
PA3725,129,116
PA3726,8,16
PA3727,19,24
PA3728,35,31
PA3729,46,35
predicted RNA,627,468
predicted RNA,622,468
PA3730,5,3
PA3731,16,28
predicted RNA,521,688
predicted RNA,905,877
PA3732,23,14
PA3733,214,231
PA3733a,39,47
predicted RNA,2958,3305
PA3734,105,103
PA3735,234,234
predicted RNA,1098,1475
predicted RNA,1252,1393
PA3736,116,90
PA3737,75,88
predicted RNA,4203,3483
PA3738,35,32
PA3739,86,91
PA3740,78,92
PA3741,622,574
PA3742,191,217
predicted RNA,15565,15662
PA3743,41,42
PA3744,44,70
PA3745,27,96
PA3746,49,50
predicted RNA,3624,3637
PA3747,154,150
PA3748,73,69
PA3749,38,42
PA3750,5,6
PA3751,13,11
PA3752,35,37
PA3753,147,115
predicted RNA,3734,2975
PA3754,36,36
PA3755,378,360
PA3756,127,87
PA3757,32,40
PA3758,6,18
PA3759,18,13
PA3760,9,11
PA3761,57,63
PA3762,15,41
PA3763,46,52
predicted RNA,1962,2047
predicted RNA,1855,1918
predicted RNA,2021,2110
predicted RNA,2013,2194
PA3764,107,112
PA3765,33,28
PA3766,78,89
PA3767,68,53
PA3768,20,15
PA3769,26,31
predicted RNA,2365,2303
predicted RNA,1.2E+03,1502
predicted RNA,2.26E+03,2655
PA3770,2.7E+01,28
predicted RNA,5252,5243
PA3771,1.7E+01,16
PA3772,1.7E+01,26
PA3773,5,4
PA3774,5,13
PA3775,35,19
PA3776,9,15
PA3777,1,6
PA3778,17,23
PA3779,79,48
PA3780,57,62
PA3781,58,67
PA3782,45,52
PA3783,1025,1121
PA3784,8,12
predicted RNA,5239,5799
PA3785,21,33
predicted RNA,6478,8844
PA3786,43,41
PA3787,279,315
predicted RNA,5407,4375
PA3788,501,573
PA3789,176,168
predicted RNA,2828,3123
PA3790,114,106
predicted RNA,1353,2009
predicted RNA,4232,5096
PA3791,66,49
PA3792,209,168
predicted RNA,2260,2201
predicted RNA,2363,2064
predicted RNA,2807,2385
PA3793,25,16
PA3794,64,51
PA3795,428,463
PA3796,57,66
PA3797,10,17
PA3798,27,23
PA3799,26,31
predicted RNA,2259,2685
PA3800,16,26
predicted RNA,4331,3942
PA3801,12,24
PA3802,57,59
predicted RNA,2580,2604
predicted RNA,4479,3761
PA3803,18,31
predicted RNA,3547,2864
PA3804,28,27
PA3805,29,40
PA3806,317,307
predicted RNA,5202,3923
predicted RNA,10244,9159
PA3807,47,104
PA3808,151,202
PA3809,98,64
PA3810,35,42
PA3811,97,101
predicted RNA,5256,4924
PA3812,80,100
PA3813,25,55
PA3814,56,58
PA3815,27,67
predicted RNA,3216,3081
PA3816,85,103
PA3817,25,25
PA3818,147,149
predicted RNA,3616,3469
PA3819,50,99
PA3820,21,24
PA3821,55,58
PA3822,97,70
PA3823,168,153
PA3824,60,65
PA3824.1,307,266
PA3825,51,67
PA3826,147,162
PA3827,46,49
PA3828,106,103
PA3829,25,29
PA3830,16,18
predicted RNA,2944,2212
PA3831,15,31
predicted RNA,2572,2506
PA3832,82,100
PA3833,87,109
PA3834,116,110
PA3835,174,108
predicted RNA,899,691
PA3836,69,56
PA3837,103,107
PA3838,32,31
PA3839,60,59
PA3840,390,532
predicted RNA,3898,4021
PA3841,46,53
PA3842,74,82
PA3844,8,12
PA3845,174,261
PA3846,19,20
predicted RNA,4710,4911
PA3847,30,30
PA3848,21,19
PA3849,365,310
PA3850,61,52
PA3851,332,334
PA3852,11,14
PA3853,11,13
PA3854,10,10
PA3855,20,31
PA3856,16,25
PA3857,93,99
predicted RNA,3994,3179
PA3858,42,77
predicted RNA,3113,3329
predicted RNA,4103,3958
PA3859,114,88
predicted RNA,1024,890
PA3860,77,72
PA3861,22,37
predicted RNA,2891,3023
PA3862,47,34
PA3863,10,7
PA3864,170,166
PA3865,57,50
PA3865a,6815,3797
PA3866,320,283
predicted RNA,763,369
predicted RNA,722,498
predicted RNA,1168,660
PA3867,213,173
PA3868,72,40
PA3869,186,141
PA3870,27,35
PA3871,6,9
PA3872,26,13
predicted RNA,108,119
predicted RNA,110,95
PA3873,12,14
predicted RNA,165,118
PA3874,63,44
predicted RNA,249,193
predicted RNA,124,101
PA3875,39,37
predicted RNA,74,77
predicted RNA,39,56
PA3876,81,56
predicted RNA,30,66
predicted RNA,55,59
PA3877,58,45
predicted RNA,174,154
PA3878,39,62
predicted RNA,1948,2347
PA3879,25,21
predicted RNA,1125,1585
PA3880,10,7
PA3881,5,13
PA3882,5,7
PA3883,0,3
PA3884,48,19
PA3885,23,32
PA3886,16,22
PA3886a,37,40
PA3887,58,62
PA3888,43,43
PA3889,56,59
PA3890,49,74
PA3891,24,32
PA3892,65,51
PA3893,23,23
PA3894,7,12
PA3895,73,93
PA3896,16,28
PA3897,46,52
PA3898,17,10
PA3899,3,12
PA3900,16,7
PA3901,197,178
PA3902,66,46
PA3903,49,41
PA3904,7,18
PA3905,11,2
PA3906,16,9
PA3907,11,19
PA3908,11,17
PA3909,52,54
PA3910,55,38
PA3911,9,3
PA3912,13,12
predicted RNA,326,316
PA3913,5,8
predicted RNA,394,446
PA3914,47,48
predicted RNA,53,66
PA3915,11,10
predicted RNA,94,83
PA3916,13,9
PA3917,7,12
predicted RNA,1007,1176
PA3918,16,40
predicted RNA,757,925
PA3919,178,169
predicted RNA,3140,2286
PA3920,38,28
PA3921,16,19
predicted RNA,4457,3771
PA3922,72,63
predicted RNA,3401,1506
predicted RNA,1973,970
predicted RNA,1803,813
PA3923,128,137
predicted RNA,2268,980
predicted RNA,3290,1438
predicted RNA,7386,3423
PA3924,64,56
PA3925,55,47
PA3926,43,44
PA3927,8,11
predicted RNA,5631,5836
PA3928,33,29
PA3929,36,17
predicted RNA,4344,4620
PA3930,35,44
predicted RNA,4481,4818
predicted RNA,9914,8804
PA3931,35,27
PA3932,62,58
PA3933,182,130
PA3934,45,36
PA3935,76,66
PA3936,18,25
PA3937,9,12
PA3938,34,38
PA3939,8,7
predicted RNA,9124,7117
PA3940,56,95
PA3941,101,123
PA3942,85,78
PA3943,26,32
PA3944,7,11
PA3945,28,38
predicted RNA,4756,4555
predicted RNA,13305,11438
PA3946,10,12
PA3947,63,65
PA3948,103,89
PA3949,85,100
PA3950,29,26
PA3951,32,38
PA3952,35,35
PA3953,13,7
PA3954,89,70
PA3955,159,135
PA3956,268,347
PA3957,203,226
PA3958,136,148
PA3959,42,49
PA3960,146,154
PA3961,11,14
PA3962,54,52
PA3963,31,30
PA3963a,32,39
PA3965,118,111
predicted RNA,6703,5500
PA3966,66,54
PA3967,57,45
PA3968,19,35
PA3969,86,122
PA3969a,28,28
PA3970,30,44
PA3971,52,38
PA3972,19,24
predicted RNA,1774,1540
predicted RNA,1459,1167
PA3973,8,14
PA3974,24,19
PA3975,7,6
PA3976,23,28
PA3977,273,230
predicted RNA,2120,2081
predicted RNA,1297,1285
PA3978,272,278
PA3979,165,158
PA3980,213,162
PA3981,119,119
predicted RNA,3059,2351
PA3982,29,21
predicted RNA,3821,2779
PA3983,38,55
PA3984,75,72
PA3985,16,27
PA3986,13,21
predicted RNA,9382,8860
PA3987,21,22
predicted RNA,3132,2855
predicted RNA,2817,2327
PA3988,12,10
PA3989,21,14
PA3990,81,50
PA3992,218,246
PA3993,695,666
predicted RNA,4255,4017
predicted RNA,5435,4288
PA3994,47,44
PA3995,28,22
PA3996,68,77
predicted RNA,3913,3624
predicted RNA,5329,4191
PA3997,38,33
predicted RNA,4145,3683
PA3998,44,64
PA3999,15,32
PA4000,16,21
predicted RNA,3936,3659
PA4001,28,21
PA4002,210,180
PA4003,69,59
PA4004,51,53
PA4005,26,50
predicted RNA,5161,5136
PA4006,51,46
PA4007,17,30
predicted RNA,3643,3407
predicted RNA,3251,3239
PA4008,97,80
PA4009,6,5
PA4010,71,69
PA4011,138,155
PA4012,145,201
PA4013,19,23
PA4014,3,9
PA4015,99,73
predicted RNA,4532,3095
PA4016,41,35
PA4017,41,46
PA4018,676,781
PA4019,3.42E+02,308
PA4020,39,24
PA4021,22,37
predicted RNA,9835,4046
PA4022,69,78
PA4023,28,30
PA4024,91,69
PA4025,57,54
PA4026,88,84
PA4027,24,8
PA4027a,22,30
PA4029,51,49
PA4030,6.9E+01,49
PA4031,309,289
predicted RNA,6067,6265
PA4032,27,26
PA4033,94,70
predicted RNA,7192,6491
PA4034,2.4E+01,17
PA4035,195,146
PA4036,110,102
PA4037,56,54
PA4038,85,91
PA4039,92,98
PA4040,200,175
PA4041,22,27
PA4042,5,35
PA4043,22,25
PA4044,176,185
predicted RNA,2261,1753
PA4045,2,14
PA4046,12,19
PA4047,15,28
PA4048,15,20
PA4049,28,27
PA4050,33,31
PA4051,4,7
PA4052,30,50
predicted RNA,3426,3461
PA4053,30,30
PA4054,41,50
PA4055,43,41
PA4056,10,22
PA4057,7,20
PA4060,90,169
PA4061,89,118
PA4062,162,247
PA4063,29,38
PA4064,61,28
PA4065,71,73
PA4066,120,102
predicted RNA,97158,81606
PA4067,142,511
PA4068,567,643
PA4069,74,75
PA4070,41,44
PA4071,16,26
PA4072,74,85
PA4073,11,4
PA4074,50,71
PA4075,10,6
PA4076,2,20
PA4077,50,33
PA4078,50,52
PA4079,65,77
PA4080,344,302
PA4081,103,100
PA4082,32,28
PA4083,7,8
PA4084,339,302
PA4085,38,35
PA4086,24,31
PA4087,8,12
PA4088,12,8
PA4089,42,44
PA4090,87,65
PA4091,37,48
PA4092,25,23
PA4093,14,20
PA4094,61,53
PA4095,16,18
PA4096,7,6
PA4097,11,12
PA4098,47,39
PA4099,32,32
PA4100,33,41
PA4101,33,34
PA4102,12,15
PA4103,57,51
PA4104,6,17
PA4105,3,2
PA4106,31,22
PA4107,6,0
predicted RNA,5598,5061
PA4108,27,25
PA4108a,265,239
PA4109,102,103
PA4110,92,95
PA4111,464,468
PA4112,61,71
PA4113,15,18
PA4114,26,19
PA4115,70,62
predicted RNA,1039,833
PA4116,38,40
predicted RNA,6486,6189
PA4117,63,62
predicted RNA,4302,3523
PA4118,53,50
PA4119,27,37
PA4120,10,13
PA4121,24,45
PA4122,50,60
PA4123,34,29
PA4124,58,63
PA4125,98,98
PA4126,196,171
PA4127,664,659
PA4128,767,1027
PA4129,5,33
predicted RNA,9129,9192
PA4130,40,58
predicted RNA,9888,8596
PA4131,125,125
predicted RNA,7021,5721
predicted RNA,5105,5008
PA4132,28,65
predicted RNA,8791,8101
PA4133,72,76
PA4134,101,167
PA4135,1216,1399
PA4136,57,92
PA4137,76,74
PA4138,14,7
predicted RNA,4881,5362
PA4139,12,18
PA4140,53,54
predicted RNA,185737,169421
PA4141,318,1202
PA4142,25,24
PA4143,23,25
PA4144,8,13
PA4145,19,17
PA4145a,132,126
PA4147,15,12
PA4148,28,36
PA4149,29,50
PA4150,135,144
PA4151,87,65
PA4152,2,5
PA4153,30,26
PA4154,12,8
PA4155,14,15
PA4156,56,48
PA4157,16,21
PA4158,24,32
PA4159,10,14
PA4160,4,5
PA4161,26,36
PA4162,10,12
PA4163,28,29
PA4164,29,25
PA4165,8,14
PA4166,14,11
PA4167,39,29
PA4168,354,309
PA4169,16,19
PA4170,11,14
PA4171,30,28
PA4172,3,11
PA4173,3,9
PA4174,79,85
PA4175,157,131
PA4176,96,77
PA4177,11,14
PA4178,21,14
PA4179,128,126
PA4180,36,39
PA4181,24,31
PA4182,19,31
PA4183,45,58
PA4184,14,18
PA4185,64,55
PA4186,363,328
PA4187,28,28
PA4188,1,2
PA4189,12,12
PA4190,10,11
PA4191,74,64
PA4192,24,15
PA4193,33,38
PA4194,36,55
PA4195,27,22
PA4196,16,28
PA4197,3,5
PA4198,72,79
PA4199,112,119
PA4200,80,69
predicted RNA,5776,5310
PA4201,294,355
PA4202,8,10
PA4203,16,19
PA4204,23,25
predicted RNA,4718,6247
PA4205,73,70
predicted RNA,4219,5380
PA4206,18,27
predicted RNA,3043,3532
PA4207,48,43
PA4208,205,68
PA4209,464,743
predicted RNA,7496,1487
PA4210,70,41
predicted RNA,13733,2279
PA4211,272,145
PA4212,15,11
predicted RNA,4068,3842
PA4213,6,15
predicted RNA,3581,2972
PA4214,31,41
predicted RNA,5126,3383
predicted RNA,3643,2931
PA4215,19,19
predicted RNA,3768,3008
PA4216,50,53
predicted RNA,3799,1876
predicted RNA,5471,1297
PA4217,131,153
predicted RNA,5309,1478
PA4218,190,60
PA4219,10,5
PA4220,9,0
PA4221,71,68
PA4222,3,8
PA4223,7,6
PA4224,2,1
PA4225,3,7
PA4226,6,9
predicted RNA,140,215
PA4227,12,22
PA4228,9,8
PA4229,1,4
PA4230,2,19
PA4231,18,21
PA4232,30,34
predicted RNA,3778,3668
PA4233,26,33
PA4234,74,64
predicted RNA,1518,1365
PA4235,488,430
PA4236,137,218
PA4237,120,163
PA4238,214,231
PA4239,162,223
PA4240,96,161
PA4241,179,276
PA4242,116,166
PA4243,434,351
PA4244,134,182
PA4245,353,482
PA4246,343,455
PA4247,369,440
PA4248,338,356
PA4249,212,319
PA4250,190,252
PA4251,216,337
PA4252,214,278
PA4253,141,254
PA4254,1326,1376
PA4255,246,225
PA4256,114,227
PA4257,232,327
PA4258,211,277
PA4259,119,284
PA4260,230,306
PA4261,174,252
PA4262,126,175
PA4263,337,366
PA4264,117,368
PA4265,180,402
PA4266,93,199
PA4267,75,207
PA4268,460,433
PA4269,126,151
PA4270,81,99
PA4270.1,404,321
PA4271,145,257
PA4272,212,288
PA4272.1,34164,29814
PA4273,206,261
PA4274,65,132
PA4275,97,132
PA4276,1314,1019
PA4276.1,940,627
PA4277,190,323
PA4277.1,5747,3858
PA4277.2,8028,4301
PA4277.3,6274,2478
PA4278,268,206
PA4279,76,54
PA4280,32,43
PA4280.1,322,129
PA4280.2,1401,1601
PA4280.3,78,96
PA4280.4,43,251
PA4280.5,2133,2105
PA4281,38,27
PA4282,71,69
PA4283,18,17
PA4284,8,11
PA4285,11,14
PA4286,18,17
PA4287,26,21
PA4288,37,31
PA4289,105,100
PA4290,37,46
PA4291,179,181
PA4292,323,240
PA4293,13,17
predicted RNA,7676,5643
PA4294,27,34
PA4295,184,114
PA4296,329,287
PA4297,783,572
PA4298,10,10
PA4299,7,3
PA4300,35,19
PA4301,8,14
PA4302,19,24
PA4303,55,67
PA4304,14,15
predicted RNA,3830,3299
predicted RNA,3826,3968
PA4305,19,23
predicted RNA,7457,6622
predicted RNA,133917,114901
PA4306,152,907
PA4307,144,163
predicted RNA,1633,1150
PA4308,18,11
predicted RNA,4300,4219
PA4309,160,161
PA4310,166,154
predicted RNA,7634,7503
PA4311,23,46
predicted RNA,4.59E+03,4764
PA4312,8.1E+01,87
PA4313,497,438
PA4313a,9.88E+02,1086
PA4314,78,75
predicted RNA,33173,19952
PA4315,313,336
PA4316,88,90
PA4317,120,88
predicted RNA,2948,2113
PA4318,49,57
PA4319,48,48
PA4320,42,42
PA4321,20,26
PA4322,7E+01,70
PA4323,475,543
PA4324,224,156
PA4325,62,66
PA4326,46,38
PA4327,42,40
PA4328,59,61
predicted RNA,2732,3097
PA4329,37,46
PA4330,415,407
PA4331,20,25
PA4332,34,42
PA4333,74,81
predicted RNA,2113,2073
PA4334,32,45
PA4335,84,69
PA4336,40,35
predicted RNA,2230,1692
PA4337,53,47
PA4338,26,20
PA4339,8,12
PA4340,6,12
PA4341,7,5
PA4342,4,11
PA4343,11,9
PA4344,20,21
PA4345,6,8
PA4346,4,16
PA4347,5,14
predicted RNA,7860,7150
PA4348,25,41
PA4349,18,14
PA4350,1775,2661
PA4351,3486,5425
PA4352,51,166
predicted RNA,20074,28607
PA4353,3,13
PA4354,252,218
PA4355,31,35
predicted RNA,123,193
PA4356,247,369
predicted RNA,192,219
PA4357,17,25
PA4358,70,75
PA4359,61,41
PA4360a,26,25
PA4361,22,19
PA4362,28,30
PA4363,115,114
PA4364,8,31
PA4365,26,48
predicted RNA,33389,28390
PA4366,71,207
PA4367,155,139
PA4368,247,212
PA4369,7,11
PA4370,317,350
predicted RNA,1156,1123
PA4371,16,20
PA4372,43,40
PA4373,104,99
PA4374,35,27
PA4375,58,45
PA4376,133,117
PA4377,68,145
predicted RNA,34623,40803
PA4378,59,70
PA4379,85,73
PA4380,64,66
PA4381,216,171
PA4382,790,696
PA4383,23,7
PA4384,43,59
predicted RNA,56084,49945
PA4385,166,360
PA4386,78,201
PA4387,17,19
predicted RNA,3432,3764
PA4388,13,11
PA4389,208,205
predicted RNA,2507,2891
PA4390,129,119
PA4391,321,279
PA4392,11,25
PA4393,38,43
PA4394,20,24
predicted RNA,9364,8233
PA4395,192,137
PA4396,34,39
PA4397,12,13
PA4398,48,49
PA4399,11,9
PA4400,35,26
PA4401,5,7
PA4402,51,77
PA4403,57,49
predicted RNA,5557,5072
PA4404,79,98
PA4405,354,321
PA4406,287,306
PA4406.1,59,128
PA4407,121,183
PA4408,54,68
PA4409,31,44
PA4410,28,26
PA4411,13,25
PA4412,10,13
PA4413,5,18
PA4414,13,23
PA4415,30,26
PA4416,14,15
PA4417,32,52
PA4418,34,42
PA4419,54,39
PA4420,24,20
PA4421,11,29
PA4421.1,3367897,2596557
predicted RNA,9416,18655
PA4422,10,9
PA4423,29,38
PA4424,123,115
PA4425,200,197
PA4426,259,215
predicted RNA,2789,2678
PA4427,142,112
PA4428,70,67
predicted RNA,14104,13753
PA4429,69,85
PA4430,91,94
PA4431,115,93
predicted RNA,34181,32675
PA4432,46,130
PA4433,200,322
PA4434,198,176
PA4435,183,148
PA4436,288,283
PA4437,90,101
PA4438,25,28
PA4439,46,36
predicted RNA,1259,1158
predicted RNA,1207,1022
PA4440,14,26
predicted RNA,5194,4219
PA4441,11,12
PA4442,63,55
predicted RNA,753,712
predicted RNA,695,687
PA4443,375,300
PA4444,131,134
PA4445,456,433
PA4446,78,89
PA4447,177,158
PA4448,114,104
PA4449,263,256
predicted RNA,3028,2640
predicted RNA,4062,3746
PA4450,73,58
predicted RNA,6191,4646
PA4451,177,115
PA4451.1,4E+01,69
PA4452,5.2E+01,56
PA4453,105,123
predicted RNA,5607,5074
PA4454,87,72
PA4455,102,83
PA4456,92,111
predicted RNA,4954,4845
PA4457,102,99
predicted RNA,3575,3594
predicted RNA,3882,3379
PA4458,456,518
PA4459,2261,1859
predicted RNA,6398,5170
PA4460,436,364
PA4461,760,673
predicted RNA,5311,3565
PA4462,103,110
predicted RNA,3485,2737
predicted RNA,33422,26821
PA4463,325,824
PA4464,57,54
PA4465,183,171
PA4466,13,18
PA4467,41,36
PA4468,142,135
PA4469,81,98
PA4470,131,126
PA4471,68,66
PA4472,70,66
PA4473,1057,1240
PA4474,58,84
PA4475,18,20
PA4476,16,17
PA4477,36,38
PA4478,1,8
PA4479,12,21
PA4480,36,39
predicted RNA,2105,2531
PA4481,63,69
predicted RNA,1054,1880
predicted RNA,2069,2662
predicted RNA,2950,2406
PA4482,102,131
PA4483,43,51
predicted RNA,1603,1630
predicted RNA,2725,2549
PA4484,43,52
PA4485,49,37
PA4486,88,98
PA4487,171,189
PA4488,80,95
PA4489,19,21
PA4490,106,112
PA4491,17,6
PA4492,110,128
predicted RNA,3277,3398
predicted RNA,5424,4697
PA4493,88,115
PA4494,38,55
predicted RNA,9261,8801
PA4495,81,89
PA4496,368,319
predicted RNA,1143,619
predicted RNA,1495,795
predicted RNA,2045,1034
predicted RNA,1757,861
PA4497,77,92
PA4498,64,40
PA4499,1151,807
predicted RNA,2924,1871
PA4500,367,374
predicted RNA,598,210
predicted RNA,534,266
predicted RNA,423,223
PA4501,159,134
PA4502,308,225
predicted RNA,668,560
PA4503,446,374
PA4504,38,31
PA4505,15,14
PA4506,105,80
PA4507,15,29
PA4508,50,47
PA4509,15,11
PA4510,3,5
PA4511,4,3
PA4512,355,313
PA4513,17,16
PA4514,327,272
PA4515,171,164
PA4516,105,108
PA4517,200,180
PA4518,47,56
PA4519,246,193
PA4520,30,30
predicted RNA,3549,3257
PA4521,178,177
PA4522,39,30
predicted RNA,10876,10077
PA4523,49,73
PA4524,209,180
predicted RNA,163083,105158
PA4524.1,16,76
PA4525,202,619
PA4526,220,212
predicted RNA,1919,1494
predicted RNA,10158,7053
predicted RNA,8817,6022
PA4528,54,56
PA4529,164,156
PA4530,578,515
PA4531,534,387
PA4532,54,59
PA4533,29,36
PA4534,93,101
PA4535,31,39
