,WT_THY_A,WT_THY_B,WT_THY_C,DhsdM_THY_A,DhsdM_THY_B,DhsdM_THY_C
IGR_+_M5005_Spy1516_pre_plus,1,0,0,0,1,0
IGR_+_M5005_Spy1517_pre_plus,4,0,1,2,3,1
IGR_+_M5005_Spy1518_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1519_pre_plus,2,2,3,1,1,5
IGR_+_M5005_Spy1520_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1521_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1528_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1530_pre_plus,1,0,0,0,0,0
IGR_+_M5005_Spy1531_pre_plus,0,0,0,1,0,0
IGR_+_M5005_Spy1532_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1534_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1535_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1538_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1539_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1540_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1541_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1542_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1543_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1544_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1545_pre_plus,0,1,0,1,0,4
IGR_+_M5005_Spy1547_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1548_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1549_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1550_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1551_pre_plus,8,9,4,9,9,12
IGR_+_M5005_Spy1552_pre_plus,1,10,2,1,10,6
IGR_+_M5005_Spy1553_pre_plus,1,1,1,1,1,2
IGR_+_M5005_Spy1554_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1555_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1556_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1557_pre_plus,13,11,9,8,10,9
IGR_+_M5005_Spy1558_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1559_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1560_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1562_pre_plus,0,0,0,0,1,0
IGR_+_M5005_Spy1563_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1564_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1565_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1566_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1567_pre_plus,2,4,0,3,4,0
IGR_+_M5005_Spy1568_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1569_pre_plus,0,2,0,2,1,0
IGR_+_M5005_Spy1570_pre_plus,2,4,1,0,0,2
IGR_+_M5005_Spy1572_pre_plus,0,0,0,0,1,0
IGR_+_M5005_Spy1573_pre_plus,1,2,1,3,2,2
IGR_+_M5005_Spy1574_pre_plus,1,0,0,0,0,0
IGR_+_M5005_Spy1575_pre_plus,0,1,0,0,0,0
IGR_+_M5005_Spy1576_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1577_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1578_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1579_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1580_pre_plus,5,3,2,7,4,3
IGR_+_M5005_Spy1581_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1582_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1583_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1584_pre_plus,0,0,0,0,0,1
IGR_+_M5005_Spy1585_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1586_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1587_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1588_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1589_pre_plus,0,0,0,0,0,1
IGR_+_M5005_Spy1590_pre_plus,0,0,0,1,1,0
IGR_+_M5005_Spy1591_pre_plus,26,15,25,10,22,16
IGR_+_M5005_Spy1594_pre_plus,7,31,15,11,16,18
IGR_+_M5005_Spy1595_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1596_pre_plus,28,35,18,13,31,41
IGR_+_M5005_Spy1597_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1598_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1599_pre_plus,0,0,1,0,1,0
IGR_+_M5005_Spy1600_pre_plus,0,1,0,0,0,2
IGR_+_M5005_Spy1601_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1602_pre_plus,1,0,0,1,1,0
IGR_+_M5005_Spy1604_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1605_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1606_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1607_pre_plus,1,0,0,0,1,0
IGR_+_M5005_Spy1608_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1609_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1611_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1612_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1613_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1614_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1615_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1618_pre_plus,0,3,1,0,0,0
IGR_+_M5005_Spy1619_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1620_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1621_pre_plus,0,0,1,1,0,0
IGR_+_M5005_Spy1622_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1623_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1624_pre_plus,0,0,1,1,0,0
IGR_+_M5005_Spy1625_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1627_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1628_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1630_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1631_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1632_pre_plus,3,4,3,1,2,3
IGR_+_M5005_Spy1633_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1635_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1636_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1637_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1638_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1639_pre_plus,0,0,0,0,0,1
IGR_+_M5005_Spy1640_pre_plus,29,42,37,50,78,63
IGR_+_M5005_Spy1642_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1645_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1646_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1647_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1648_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1650_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1651_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1652_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1653_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1654_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1656_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1657_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1658_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1659_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1661_pre_plus,0,0,0,0,0,1
IGR_+_M5005_Spy1662_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1663_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1665_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1667_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1668_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1669_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1670_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1671_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1672_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1673_pre_plus,0,0,0,0,0,2
IGR_+_M5005_Spy1674_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1675_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1676_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1677_pre_plus,0,1,0,0,0,0
IGR_+_M5005_Spy1678_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1679_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1681_pre_plus,0,1,0,0,0,0
IGR_+_M5005_Spy1682_pre_plus,0,0,0,0,0,1
IGR_+_M5005_Spy1683_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1684_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1685_pre_plus,0,1,1,1,4,1
IGR_+_M5005_Spy1686_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1687_pre_plus,0,1,0,0,0,0
IGR_+_M5005_Spy1688_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1689_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1690_pre_plus,1,0,0,0,0,0
IGR_+_M5005_Spy1691_pre_plus,51,56,48,48,55,56
IGR_+_M5005_Spy1692_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1694_pre_plus,0,1,1,1,2,0
IGR_+_M5005_Spy1696_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1697_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1698_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1699_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1700_pre_plus,1,0,1,0,0,0
IGR_+_M5005_Spy1701_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1702_pre_plus,1,1,0,0,0,0
IGR_+_M5005_Spy1703_pre_plus,0,1,0,2,2,1
IGR_+_M5005_Spy1704_pre_plus,1,1,1,0,0,0
IGR_+_M5005_Spy1705_pre_plus,5,18,3,14,8,3
IGR_+_M5005_Spy1707_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1709_pre_plus,0,3,0,2,1,0
IGR_+_M5005_Spy1710_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1711_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1712_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1713_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1714_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1715_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1716_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1718_pre_plus,1,3,2,1,6,2
IGR_+_M5005_Spy1719_pre_plus,1,6,2,5,4,4
IGR_+_M5005_Spy1720_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1721_pre_plus,0,3,0,1,0,1
IGR_+_M5005_Spy1722_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1723_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1724_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1726_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1727_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1729_pre_plus,0,1,0,0,1,0
IGR_+_M5005_Spy1730_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1731_pre_plus,1,0,0,0,1,0
IGR_+_M5005_Spy1732_pre_plus,0,2,0,0,0,1
IGR_+_M5005_Spy1733_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1734_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1735_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1736_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1737_pre_plus,15,27,23,22,25,17
IGR_+_M5005_Spy1738_pre_plus,2,0,0,0,3,1
IGR_+_M5005_Spy1739_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1740_pre_plus,0,0,0,0,0,1
IGR_+_M5005_Spy1741_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1742_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1743_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1744_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1745_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1746_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1747_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1748_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1749_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1750_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1751_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1752_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1753_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1754_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1755_pre_plus,0,6,1,0,2,2
IGR_+_M5005_Spy1757_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1758_pre_plus,0,0,1,2,0,0
IGR_+_M5005_Spy1759_pre_plus,11,36,20,31,33,25
IGR_+_M5005_Spy1761_pre_plus,7,28,15,27,35,42
IGR_+_M5005_Spy1762_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1763_pre_plus,0,0,1,0,0,0
IGR_+_M5005_Spy1765_pre_plus,0,0,0,0,0,1
IGR_+_M5005_Spy1766_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1768_pre_plus,0,0,0,0,1,0
IGR_+_M5005_Spy1769_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1770_pre_plus,0,0,0,1,1,0
IGR_+_M5005_Spy1771_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1772_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1773_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1774_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1775_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1776_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1777_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1778_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1779_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1780_pre_plus,160,435,183,124,312,382
IGR_+_M5005_Spy1781_pre_plus,8,15,13,7,16,25
IGR_+_M5005_Spy1782_pre_plus,1,1,0,0,0,1
IGR_+_M5005_Spy1783_pre_plus,0,0,1,0,0,0
IGR_+_M5005_Spy1784_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1785_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1786_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1787_pre_plus,0,0,0,0,1,0
IGR_+_M5005_Spy1788_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1789_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1791_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1792_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1793_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1794_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1795_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1796_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1798_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1799_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1800_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1801_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1802_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1803_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1804_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1805_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1807_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1808_pre_plus,0,0,0,1,0,1
IGR_+_M5005_Spy1809_pre_plus,0,0,0,0,0,1
IGR_+_M5005_Spy1810_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1811_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1814_pre_plus,0,0,0,0,1,0
IGR_+_M5005_Spy1815_pre_plus,0,3,0,1,0,2
IGR_+_M5005_Spy1816_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1817_pre_plus,308,336,297,352,379,430
IGR_+_M5005_Spy1819_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1820_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1822_pre_plus,4,3,1,5,3,7
IGR_+_M5005_Spy1823_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1824_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1825_pre_plus,0,0,0,0,0,1
IGR_+_M5005_Spy1828_pre_plus,0,0,0,2,0,0
IGR_+_M5005_Spy1829_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1830_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1831_pre_plus,0,2,3,4,0,1
IGR_+_M5005_Spy1832_pre_plus,0,0,0,0,1,0
IGR_+_M5005_Spy1834_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1835_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1836_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1838_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1839_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1840_pre_plus,0,3,0,0,2,0
IGR_+_M5005_Spy1841_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1842_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1843_pre_plus,45,44,31,121,62,77
IGR_+_M5005_Spy1844_pre_plus,0,0,0,2,1,1
IGR_+_M5005_Spy1848_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1849_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1850_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1851_pre_plus,0,2,0,0,2,0
IGR_+_M5005_Spy1852_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1853_pre_plus,0,1,0,0,1,0
IGR_+_M5005_Spy1854_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1855_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1856_pre_plus,0,0,0,0,1,0
IGR_+_M5005_Spy1857_pre_plus,0,0,0,1,1,0
IGR_+_M5005_Spy1858_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1859_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1860_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1861_pre_plus,0,0,0,0,1,0
IGR_+_M5005_Spy1862_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1863_pre_plus,8,9,6,7,8,13
IGR_+_M5005_Spy1864_pre_plus,0,0,0,0,0,0
IGR_+_M5005_Spy1865_pre_plus,0,0,0,0,2,0
IGR_+_M5005_Spy1866_pre_plus,1,0,0,0,0,2
IGR_+_M5005_SpyR0001_pre_plus,38,67,36,13,58,64
IGR_+_M5005_SpyR0002_pre_plus,1428,2548,1308,1597,1996,2092
IGR_+_M5005_SpyR0003_pre_plus,9,31,7,12,9,8
IGR_+_M5005_SpyR0004_pre_plus,477,1185,589,328,549,996
IGR_+_M5005_SpyR0005_pre_plus,1417,2449,1335,1655,2079,2181
IGR_+_M5005_SpyR0006_pre_plus,15,23,9,15,5,11
IGR_+_M5005_SpyR0007_pre_plus,28,82,31,24,56,68
IGR_+_M5005_SpyR0008_pre_plus,1416,2550,1390,1620,2084,2131
IGR_+_M5005_SpyR0009_pre_plus,8,30,17,13,12,7
IGR_+_M5005_SpyR0010_pre_plus,28,75,37,39,67,80
IGR_+_M5005_SpyR0011_pre_plus,1377,2438,1437,1666,2091,2099
IGR_+_M5005_SpyR0012_pre_plus,11,26,7,9,10,11
IGR_+_M5005_SpyR0013_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyR0014_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyR0015_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyR0016_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyR0017_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyR0018_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0001_pre_plus,9,30,10,33,28,19
IGR_+_M5005_SpyT0002_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0003_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0004_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0005_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0006_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0007_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0008_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0009_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0010_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0011_pre_plus,12,25,12,22,24,17
IGR_+_M5005_SpyT0012_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0013_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0014_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0015_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0016_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0017_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0018_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0019_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0020_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0021_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0022_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0023_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0024_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0025_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0026_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0027_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0028_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0029_pre_plus,20,27,7,27,24,13
IGR_+_M5005_SpyT0030_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0031_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0032_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0033_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0034_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0035_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0036_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0037_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0038_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0039_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0040_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0041_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0042_pre_plus,10,17,10,32,30,15
IGR_+_M5005_SpyT0043_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0044_pre_plus,0,2,0,0,0,0
IGR_+_M5005_SpyT0045_pre_plus,1,3,1,4,3,5
IGR_+_M5005_SpyT0046_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0047_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0048_pre_plus,0,1,1,1,0,0
IGR_+_M5005_SpyT0049_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0050_pre_plus,10,2,1,3,3,6
IGR_+_M5005_SpyT0051_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0052_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0053_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0054_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0055_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0056_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0057_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0058_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0059_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0060_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0061_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0062_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0063_pre_plus,63739,113164,66900,75963,127661,100952
IGR_+_M5005_SpyT0064_pre_plus,3,9,1,2,1,8
IGR_+_M5005_SpyT0065_pre_plus,34,56,36,26,37,41
IGR_+_M5005_SpyT0066_pre_plus,0,0,0,0,0,0
IGR_+_M5005_SpyT0067_pre_plus,43,67,49,47,73,65
IGR_-_M5005_Spy0001_pre_minus,0,2,0,0,0,0
IGR_-_M5005_Spy0002_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0003_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0004_pre_minus,0,1,1,1,0,0
IGR_-_M5005_Spy0005_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0006_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0007_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0010_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0012_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0013_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0014_pre_minus,1,1,1,1,1,0
IGR_-_M5005_Spy0015_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0016_pre_minus,1,0,0,1,0,0
IGR_-_M5005_Spy0017_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0018_pre_minus,0,0,0,2,0,0
IGR_-_M5005_Spy0019_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0020_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0022_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0023_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0024_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0025_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0026_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0027_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0028_pre_minus,0,0,0,0,0,0
IGR_-_M5005_Spy0029_pre_minus,0,0,0,0,1,0
IGR_-_M5005_Spy0030_pre_minus,0,0,0,0,0,0
