Description,WT1,WT2,WT3,WT4,Mutant1,Mutant2,Mutant3,Mutant4
SSA_1589,3180,5169,3136,1772,4040,2654,2357,3937
SSA_1684,22555,48377,27852,19529,35838,35740,27556,33953
phtA,2873,4790,3352,2033,3887,3971,3082,3716
recG,174971,305558,211699,103141,237916,166463,139006,235822
SSA_1308,3504,5111,3283,2067,4489,3527,3251,4351
dut,3055,4447,2997,1754,3611,2720,2081,3808
SSA_2294,195,327,210,135,260,258,242,238
valS,127490,206572,136528,70197,162920,112186,100810,156687
glpF,688,1152,804,375,1164,770,633,856
SSA_2053,2377,5241,4012,2139,4205,4998,2882,3918
nusG,14965,26362,16734,9704,23020,16282,15168,20036
SSA_0640,603,956,757,401,866,889,649,712
pncB,24414,37248,23517,15013,30306,22112,20913,27444
SSA_0609,1261,2721,1871,1122,2171,2215,1488,2092
folD,5003,7485,5394,2908,6413,4183,3764,6340
SSA_0896,10373,21770,12813,9105,15713,18023,11746,16263
dnaN,40647,71953,48622,31023,51467,49681,40932,48030
dctA,6489,11455,7918,3893,10257,7422,6359,8793
SSA_0430,2720,5272,5107,2081,4430,4603,3284,5382
SSA_0830,86601,131316,87834,48871,95494,77741,68062,110337
nadR,3435,6120,3659,2135,4101,3580,3014,4442
SSA_2370,6332,10209,5443,4581,7018,6404,6123,6135
ntpE,37638,58958,39636,19491,51766,37159,33716,50269
SSA_2248,3334,7568,4896,2829,5127,6466,3906,5679
SSA_0076,9940,34297,29835,12877,24952,36639,15891,35376
SSA_1572,7051,11999,7309,5215,8737,7588,6143,9329
SSA_0224,35908,66762,41139,26743,50141,50022,41911,47302
SSA_2153,5661,8196,4870,2995,6647,4525,4048,6243
SSA_1325,5792,8978,5766,3565,7498,5316,4336,7122
SSA_2345,5743,10830,6079,4411,8996,7433,6122,7695
SSA_0342,1421992,3348496,2070090,1106189,2886482,1956063,1733581,2272826
plsX,34436,54192,33615,20235,43734,30302,28723,39558
thiI,14335,21003,14734,7735,19591,13960,13031,17868
lacR,2372,4128,2540,1583,3063,2260,2068,3200
SSA_1229,5002,8906,5669,3508,7063,6068,5496,6711
SSA_1413,27212,46680,31066,14708,39666,29945,22858,41755
mraW,9249,15713,9009,6506,12744,8144,7346,12185
tkt,98415,191138,125301,58975,140130,96739,81027,139032
SSA_0311,3786,6045,3727,2495,4589,3612,3527,4298
SSA_0810,15623,24526,15592,9413,19646,14693,13723,17243
SSA_0915,1128,1694,1247,718,1454,1410,1123,1394
rpoA,106406,137370,74633,63890,104522,80614,96173,82845
htpX,34313,53002,31795,19536,42979,30407,27937,36610
rexB,61180,97887,63908,33063,87273,61658,52535,83569
rrmA,1117,1684,1398,784,1281,1316,1045,1277
uncD,570041,888886,571845,309612,824487,542288,519544,719283
SSA_1985,1283,2308,1495,845,1905,1554,1314,1726
SSA_1767,1815,3031,2125,1223,2039,2289,1631,2017
dapB,10686,13750,8797,5430,11236,7582,8061,11166
SSA_0425,340,690,486,228,568,498,381,504
trkA,41856,67628,42041,27642,61490,42908,41019,54576
pduX,12953,37281,24286,10498,30557,22050,16147,27357
SSA_1083,2359,3526,2202,1820,3309,2675,2039,3810
SSA_1712,2250,3721,2205,1417,2655,2185,2050,2633
SSA_0168,1272,2439,1392,1065,1894,1698,1477,1899
SSA_2081,66,97,99,41,111,84,68,109
SSA_2204,3792,7861,5731,2970,5654,4964,3802,5484
SSA_2365,15825,28405,15992,14653,22316,26081,19551,20437
arb,5679,7783,6127,2772,5295,4955,4433,6892
SSA_1592,1561,3779,2026,1353,1982,2072,1566,2619
SSA_0312,185058,330728,209098,110053,271278,170293,158914,217322
SSA_0984,985,1608,897,781,1244,981,810,1241
dnaG,51837,78410,48464,28887,64244,45096,42529,54588
SSA_1292,9671,18574,13942,7945,13470,15460,12109,15771
hutH,5835,10439,8608,3206,10658,6592,5832,8932
SSA_1408,3748,5562,3432,2206,4740,3210,2854,4205
secY,73989,106169,73376,42341,81650,84555,63144,106351
SSA_0249,33171,56670,40063,23380,32478,41543,28749,45640
SSA_2447,5632,3406,2232,621,1959,1803,2768,1780
SSA_1045,5998,10293,5503,4370,8664,6508,6239,8146
rpmA,51461,77420,50548,28342,65180,47477,42694,50374
SSA_2264,6080,8390,4858,4190,7019,5966,4735,5852
pduH,105,236,103,64,194,113,123,154
uncH,101845,160493,94342,60579,142600,98462,104037,119048
SSA_1144,1521,2674,2107,1240,2305,2257,1683,2370
SSA_2348,14525,22994,13948,8991,17690,13690,12992,16162
SSA_0726,3231,5960,4150,2628,4413,5039,3582,5118
SSA_1424,12760,22065,14071,8112,18374,13801,12968,16960
SSA_0376,19871,29071,18646,12483,24438,18167,17226,20883
SSA_0725,569,1214,768,575,883,1094,705,974
alaS,131071,189463,115833,68610,179492,117593,112682,157968
SSA_1644,836,1755,927,652,1315,1177,1019,1117
SSA_1352,3135,5290,3025,2686,3989,5224,3518,3932
folP,17203,25133,15501,9324,19180,14100,13629,19750
SSA_0850,1187,2239,1636,1000,1406,1850,1111,1448
ptcC,1741,3330,2635,1056,2747,2349,1773,2956
cysD,2903,5218,3021,1778,4234,3263,2838,3720
SSA_0067,29156,47619,30951,18563,40062,32384,27811,37340
SSA_2052,6610,14007,9719,4482,12634,9273,7082,9727
SSA_0057,5408,13747,9190,4890,9088,9808,6773,12031
SSA_2269,28412,47621,28247,17718,36812,28646,25080,31659
SSA_1231,12451,18061,12509,9488,13151,13728,11825,13653
SSA_1378,3674,4810,3016,2360,3979,2953,2569,4505
SSA_1389,2985,5191,3301,2242,3232,4031,2728,3291
SSA_1757,14700,25409,19154,11079,17420,23665,14823,25512
malP,13934,26806,17823,9435,23265,16859,14754,19670
endA,17637,27770,17726,9431,23327,14455,15023,18057
SSA_0994,5199,9090,5696,3742,7412,6680,5360,6757
SSA_0485,20989,33717,26196,10012,33525,20920,17372,32280
cbf,36756,61941,40507,22956,49451,36899,34229,41633
gatB,69708,111716,68743,38311,102589,68122,63911,84187
SSA_2445,2277,2030,1214,802,1221,1451,1423,1730
SSA_1490,2525,3796,2413,1733,2750,2693,2332,2597
SSA_0536,108,178,128,75,149,155,114,151
SSA_0986,5016,8658,5541,2973,7151,4444,4242,6067
dltA,70710,111585,73832,35425,94030,58113,52307,80288
SSA_1088,4868,6967,5947,3117,4979,5645,4246,5756
norM,5449,9986,5460,4426,7668,7543,6155,7272
SSA_1250,10898,23736,17320,10451,16417,23109,13231,19745
SSA_2010,6538,12615,7000,6212,9403,11711,7828,8926
ugpQ,15791,27955,18959,9969,23436,18916,15429,21289
SSA_0506,2956,4676,3275,1628,4537,2805,2543,4340
SSA_0961,16055,31325,18240,11880,23767,20446,18371,22101
nanE,75951,179737,136272,46983,117833,92184,62191,132219
proA,13714,19619,12878,6897,16493,11062,10217,14866
ntpA,230565,355605,254345,111750,327534,224287,189365,331115
SSA_1244,1390,2211,1890,920,1414,1836,1150,1796
rpmJ,18667,25452,15200,13054,18120,18152,17364,17379
SSA_1812,59394,115224,86592,46563,74445,91341,56359,74006
SSA_1544,36953,78398,47073,29221,49813,50043,39432,46002
SSA_0195,2513,3554,2240,1599,2523,2479,2237,2565
hipO1,10089,18781,12204,5847,16409,11176,9546,14499
SSA_2181,8139,10196,7357,4877,8009,7692,6684,8307
xseB,3643,5428,3489,2458,4687,3971,3456,4783
lytB,30269,51815,30912,17654,39664,28656,26142,35414
SSA_0232,7728,14940,8331,6918,9935,10313,8609,7328
proS,97575,142806,95044,46117,117335,76941,71654,107811
SSA_0427,27252,52379,33727,16815,43578,31348,26664,40846
SSA_1884,38925,80973,61100,29565,53961,58932,38600,50157
SSA_1740,794,1494,985,670,1150,1289,783,1318
acoC,14677,24803,18234,8990,24774,16508,14085,19061
pepS,54349,85761,54560,27762,77525,51683,46868,70223
hom,18405,26737,15646,10566,27114,15565,15783,23373
dacA,13356,19515,12009,8278,18158,12737,12178,16834
SSA_2346,25000,42499,26206,15517,36261,26935,24811,30859
serS,24514,39408,23461,15162,35172,24765,22444,31047
pgsA,7489,11279,6128,5061,7986,7030,7041,7349
SSA_1941,6501,8982,6014,3248,8315,5935,5057,8708
SSA_1973,3057,5202,3003,2126,4396,3603,3007,3817
SSA_0745,445,671,385,345,575,684,267,787
rgpB,17207,26614,16175,10507,20415,16173,15101,19293
SSA_1928,71573,110428,69142,41142,91169,72237,61885,98078
SSA_0707,30372,70809,48487,25054,50304,55208,35574,53476
SSA_2098,4436,6248,4031,3046,3715,4669,3692,5411
SSA_2060,7965,11323,7260,4867,9657,8258,6965,10403
tyrS,30437,48535,29908,18735,39193,29253,26687,33701
SSA_0516,42258,92580,58732,32384,74962,57312,48643,66398
trpF,2225,3170,2133,1139,2568,1741,1651,2640
SSA_0714,1574,2787,1683,1173,2102,1831,1419,1920
SSA_1750,26372,56820,34591,18327,40545,29915,25393,37105
SSA_2231,26798,41326,24865,16930,36322,28751,25209,31422
SSA_2129,4060,6699,4327,3077,5081,4467,4081,4600
aspS,47015,69592,42895,24887,59565,37022,34010,53068
SSA_2011,7762,15126,9520,5683,12468,10406,8362,10415
comFC,213,400,273,163,284,271,197,274
hlyX,26119,37372,23405,16692,34915,26192,22614,33754
SSA_0513,5844,17725,11435,5618,13450,11543,8048,12383
SSA_1116,699,1396,1065,533,1001,996,723,848
norN,15138,19261,13968,6589,14865,11840,10000,17213
SSA_1730,916,1347,825,663,979,1026,774,963
SSA_1904,12806,21465,12642,9366,16246,14107,11831,14553
SSA_2220,16580,22006,13900,9546,15498,15055,13900,17110
hisS,46961,82060,51116,27868,65473,45761,40877,54993
bglA,1130,1678,1273,587,1730,1164,1086,1250
SSA_0662,1685,3149,1949,1369,2741,2088,1706,2654
galM,3760,10118,7700,2878,7565,6492,4249,9599
SSA_0808,4850,7366,4569,2941,5634,4204,4179,5813
SSA_0154,763,1277,868,577,986,1011,801,1127
SSA_0206,809,1736,1040,881,1274,1688,1084,1202
SSA_2274,17978,27444,20723,11489,20302,19806,16602,21194
SSA_1764,15094,26578,17932,11580,21099,20182,16190,21524
malX,150431,378955,229259,132175,279135,243827,188348,269851
SSA_2277,128239,196661,141915,63795,169460,108328,96657,147859
SSA_2303,56951,102620,59435,38037,78203,56276,55407,65823
SSA_0582,9497,12881,9544,4937,9871,8556,7011,11431
SSA_1107,9114,14423,8994,5159,12255,9131,8307,11457
SSA_0573,168,321,166,152,243,304,204,198
SSA_1162,832,1281,825,666,1050,1172,886,1061
araD,13653,64997,56901,14713,47157,48068,19207,83285
trcF,15240,23184,15344,9962,17486,16686,14120,15210
SSA_0697,148,245,163,116,201,207,166,200
SSA_2352,4821,8854,5344,3278,7031,5924,5267,5992
pykF,220646,360357,225312,133847,318826,219063,229811,263962
SSA_2084,632,1193,916,381,928,858,634,1050
SSA_1415,18530,28680,19148,9584,24916,18159,15368,25750
SSA_1309,7534,11702,7192,5195,10471,8117,7750,9028
dltB,65116,105954,62634,39457,88877,69047,61630,77923
SSA_0868,2221,4198,2373,1973,3628,2924,2517,3182
papS,10656,15297,10283,5574,11754,9282,8741,11974
SSA_2452,937,1137,681,373,683,670,851,624
rpsB,33201,52260,27615,22190,49335,29930,31483,43936
proC,8780,12884,7910,4634,10497,7205,7125,9233
SSA_0482,6652,10630,8289,3866,9617,7465,5881,9856
SSA_1328,8118,14091,11042,5402,10249,11052,7231,9327
SSA_1659,2986,5073,3245,2280,4193,4147,3228,3651
SSA_0271,14785,35764,26859,11821,27035,24694,16687,31816
SSA_1249,16974,33249,25090,14278,23394,31087,18638,28828
SSA_0375,50344,89022,51127,38808,70453,50496,47166,64565
SSA_1353,5471,8809,5543,3438,6684,5644,4756,6580
fabG,5944,9714,5892,3308,7150,5524,5042,7060
SSA_1586,6823,11053,6202,3915,9967,6292,5850,9092
iga,89407,151346,105403,61438,112613,103525,86895,108371
SSA_1183,4436,6545,4232,2648,4974,4371,3841,4844
guaB,15397,20619,12489,8566,18375,11874,10501,17092
SSA_1789,18044,36253,22734,12369,28771,22948,17732,27856
SSA_1294,5719,8748,5975,3852,6508,7069,5782,7769
SSA_1512,38000,63547,40191,25943,49993,44957,37711,50411
rplI,14633,28006,17245,11009,17915,19209,14618,18095
SSA_0308,1330,2725,1756,1076,2002,2171,1589,1857
parE,44645,60048,46888,21111,55885,35707,30530,49914
lysS,24109,40298,26316,16588,33545,22375,20853,32568
SSA_0242,7424,11414,7924,3756,9621,7361,6230,10569
SSA_2159,4740,7411,4552,2829,5788,4269,3879,5825
pbp2b,24488,36502,23935,13141,32567,19788,18127,27863
SSA_0056,12899,33354,22726,12178,21930,24936,15885,28557
hemN,8362,11663,7017,5181,10739,7787,7676,10239
SSA_1999,17321,22835,13936,8460,20521,15154,14741,19308
SSA_2369,8284,13948,7877,5882,10768,8281,8133,8719
hutG,28750,46062,30619,15681,39399,25346,23032,33069
rpmE2,13491,26049,16701,11018,19585,17562,12100,18759
aroK,14618,23464,15348,7794,18732,13675,11793,16884
pacL,61729,109412,59116,39923,96000,65616,63481,71688
trkH2,10542,16466,9643,6296,13192,11062,9933,12694
SSA_2113,3178,4706,2991,2398,3612,2852,2703,4385
SSA_2120,8869,12318,7744,4881,9755,7594,6914,9916
rggD,1088,1852,1160,783,1571,1342,1135,1348
SSA_0064,10939,18887,11864,6731,14761,10540,10255,12952
SSA_0731,8509,17255,10651,8578,11209,12496,9679,11056
pabB,6886,12304,7967,4220,10972,7207,6636,9525
fabH,16236,23283,13240,10197,20669,15289,14398,20942
comD,2860,6399,2966,2373,4683,4482,3504,3479
SSA_0895,2206,3601,2349,1333,2988,2474,2124,2699
SSA_1658,2718,4131,2542,1528,3598,2633,2397,3373
ilvC,20683,31191,17965,11460,24920,17761,17893,19971
SSA_2239,34168,69848,42234,27163,48825,43833,35406,44634
SSA_0887,136,255,160,107,175,233,172,170
SSA_1719,23473,42337,26145,14833,33502,25407,24326,31675
glp,1960,3979,3130,1229,4028,2570,1949,3016
gmk,6827,9974,5059,4519,9454,5720,5704,10114
trpB,5782,8761,6381,3015,7439,5314,4720,6427
SSA_2133,409,628,470,300,419,543,359,458
gdh,35103,61418,36138,23622,59240,33804,34789,46962
fruR,4094,7849,4749,3200,5892,4836,4577,4121
SSA_2028,26101,59332,36687,21407,45143,42766,32090,36815
SSA_2354,5360,8175,5202,3619,6247,6500,5584,6528
SSA_0666,51,88,59,46,78,108,58,54
mga,10644,20539,14632,9361,17793,17417,12474,14515
hpt,14193,21096,13229,9806,16605,14706,12801,15204
SSA_0098,4096,5753,3691,2154,4379,3652,3391,4269
rgfB,13376,27456,16092,10427,18968,16404,14049,17603
SSA_1976,1528,2766,1619,1209,2405,1790,1559,2210
SSA_0207,2024,3813,2355,1486,2867,2759,2218,2702
SSA_0699,5579,10233,8039,4012,7437,7767,5695,6363
SSA_1078,8413,13265,7825,6065,10877,11298,9163,8749
mesH,1388,2983,1680,1435,1861,2094,1407,2059
SSA_1588,23084,41012,24956,15188,32735,26957,22886,29599
fmt,19089,29298,19088,10969,24762,19675,16616,24539
uncB,92217,134636,72049,64219,115989,95677,99570,102063
SSA_0188,46,63,45,24,49,32,33,52
SSA_0041,2827,5012,3298,2291,3243,3760,2909,3405
SSA_0293,5728,11434,8432,5088,9125,10414,6176,9086
SSA_0042,8377,15844,10892,6106,11037,10578,8409,11199
SSA_1974,2535,3782,1879,1484,2931,2070,1962,2699
SSA_0988,111,178,122,61,111,175,93,165
SSA_2271,1532,2491,1428,1159,1821,2246,1339,2168
SSA_2339,8214,13768,9430,5138,12520,9396,7451,10584
lgt,16916,27335,15442,11463,21038,17055,15314,18610
SSA_0667,2123,3629,2257,1464,2911,2456,2218,2732
SSA_1919,65019,104659,64733,34417,91205,54063,52803,67995
SSA_1215,2530,4513,3550,2176,3993,4102,2967,3403
SSA_1758,1970,2861,2216,1317,1781,2430,1569,2535
SSA_1975,763,1241,816,467,1121,862,693,934
SSA_2056,10260,17747,13657,6527,17053,12360,9426,14604
SSA_0238,577,780,513,366,709,592,462,804
SSA_0365,9939,16328,10235,6505,13554,9703,8486,12343
SSA_0441,9480,19764,11744,7708,12507,13200,10105,11987
SSA_0575,3446,4853,2822,2384,3464,3421,2614,4255
rplT,19912,34095,19712,12784,25757,19331,19067,22570
uup,18884,27840,19011,9231,24039,14761,14123,21667
coaD,6137,7648,5483,3261,6071,4848,4759,7114
amy,12263,18813,11758,7377,16126,11355,10544,12932
SSA_1794,6477,11326,7611,3857,10547,6614,6239,8676
SSA_2237,22889,34609,21333,12520,27033,20199,17772,27297
tig,73893,110194,70700,40254,106448,65089,64378,91633
SSA_1313,4498,7877,6505,3105,6038,5478,4222,6332
priA,27200,41429,27893,15548,35622,27734,23518,35612
nrdD,115518,181368,113519,62476,160567,112553,97922,145655
SSA_1844,9537,16154,10915,7094,11419,11879,8310,12810
SSA_1435,3272,5474,3689,2337,4134,3884,3174,3753
SSA_1436,8892,14776,10182,6935,10885,11161,9126,9791
SSA_0300,29649,72650,48927,25125,38953,55171,30518,41479
SSA_1422,2943,4727,3313,1902,3931,3333,2856,3902
infA,20513,25508,15409,12271,20241,18233,17780,17391
SSA_2014,20395,35336,20220,11906,28362,16848,18629,22908
comFA,420,838,615,364,724,683,486,616
SSA_0061,4854,12183,9397,3416,8950,7942,4978,11544
fer,7761,12956,8448,5689,9445,9701,6601,9735
glyQ,30369,47640,30807,16702,40283,26857,24299,35198
SSA_1921,1801,3123,1658,1523,2508,2342,2018,2323
SSA_1945,43285,57416,35853,23504,47318,35117,38090,38954
SSA_1988,3150,4656,2731,2455,3954,3939,3269,3742
tsf,54508,82756,44899,31074,69381,41698,45694,55893
SSA_0378,5512,8085,5409,2746,8195,4745,4677,6590
SSA_0483,6428,11421,9188,4150,9906,8290,5958,10478
typA,63905,103925,72846,40405,90313,59740,56250,80504
agaS,6572,16157,12806,4326,12260,10308,6716,15240
pstS,28143,48575,28592,16526,41490,27965,25498,37521
SSA_0179,5568,9392,5712,3874,6833,6365,5290,6279
SSA_0054,9897,21715,16197,6500,15498,12122,8572,16407
pilD,777,1505,1136,707,1138,1219,821,906
cylB,207,376,184,114,273,267,173,259
SSA_2198,27818,44846,27566,16107,35909,27960,26179,35523
rgpA,16063,27840,17430,11312,21499,17067,15570,20098
tatA,5508,9874,5528,4235,6839,6471,5590,6232
pyrB,5500,8854,6091,3130,7164,5151,4853,6602
SSA_2018,7995,10576,6721,3612,9311,5453,5202,8864
spi,12991,21154,13335,9500,18186,15522,12802,16543
SSA_1041,51241,81434,45722,30806,62209,48521,41761,59799
groES,44372,73938,49913,26083,55407,47215,36589,57229
rpsL,29617,44567,29695,19278,41165,30386,27485,37041
SSA_1971,1929,3718,1972,2286,2438,3008,1998,2529
SSA_2016,7614,11617,7431,4077,9652,6745,5914,8752
SSA_2387,232,445,295,198,303,334,246,262
SSA_2389,232,445,295,198,303,334,246,262
cadD1,181,291,201,135,212,216,171,203
SSA_0989,2898,4819,3001,1672,4113,2985,2487,3922
SSA_1190,7943,14864,7589,5848,10788,8284,7026,10499
SSA_0144,13636,23022,17020,10824,19441,19358,14352,18864
rnhC,11661,18765,11489,7526,15317,10819,10440,13938
SSA_1038,66862,123777,70327,47976,88745,72934,66202,83924
SSA_1763,6958,10947,7265,3925,8965,6153,5280,9056
SSA_1683,11020,24052,15624,8210,18542,15407,12782,16628
SSA_0563,66109,163389,106041,50720,127324,102307,76464,111897
SSA_2135,876,1770,1249,774,1171,1414,910,1099
SSA_0021,47650,102508,68321,41931,72955,80394,52201,83657
livM,13563,18271,11061,7179,14832,11258,11113,13174
pnpA,57931,75706,46078,27595,65947,40919,42559,58357
SSA_2162,3042,7728,2839,4127,6166,5203,6168,4099
SSA_0811,34230,55996,38708,20372,46151,34742,29438,41802
SSA_0595,1051,1866,1082,669,1620,1107,1054,1298
SSA_1685,13308,25195,15744,8517,19180,14068,12234,17578
SSA_0349,22284,48396,32791,14686,36745,30541,22960,37282
SSA_1275,23,44,35,12,39,41,23,32
murA,21583,30221,19368,10443,27205,15695,15815,23114
ilvH,3678,4846,2924,1756,4336,2644,2800,3401
SSA_2031,405015,939732,582968,284779,761292,545085,409601,684858
SSA_2152,4948,8186,5347,3143,7150,5232,4886,6154
ychF,5917,9008,4955,4163,7953,5514,5663,8124
SSA_1070,20342,30138,19361,9874,26498,16048,16065,20716
mutM,39960,63480,38718,22006,46900,36249,32433,49836
SSA_1733,1053,1941,915,820,1539,1049,1109,1624
SSA_2377,3560,5732,3558,2740,4614,4244,3476,3372
cbiC,6737,11584,8721,4226,10262,7878,6568,9291
SSA_0798,11412,16846,11283,8209,12528,12897,10301,13190
SSA_1608,15567,25466,16404,10421,18576,19872,15549,19980
SSA_2032,770,1624,896,639,1007,1054,898,843
SSA_0732,144,281,174,139,215,163,169,186
SSA_1324,13348,22038,13877,9067,18075,15477,12939,16829
fusA,173376,285243,169693,98208,250261,160516,160926,217852
SSA_0971,40961,74820,47906,31458,53139,51101,41446,52137
SSA_0077,12867,45850,43812,13897,32766,39923,17287,49484
SSA_1402,8212,12966,8308,5062,10607,8726,7697,10291
SSA_1901,5058,7416,4486,3125,5692,4746,4079,6085
SSA_2085,567,1150,852,347,872,715,593,1000
purR,3970,5646,3391,2855,5424,3500,3401,6201
SSA_0066,3947,6252,3999,2569,5672,3880,3465,5612
SSA_0389,3534,5275,3341,2027,4886,3614,3011,4020
SSA_2252,2722,4503,2693,1995,3615,3226,2929,3342
SSA_2213,38501,61718,38006,23820,46513,37190,36658,43531
rmlB,81395,143626,91741,50046,116788,82880,74708,95832
SSA_1478,86,180,120,81,173,120,117,122
smc,94442,148052,96255,50946,119430,85522,78257,110644
SSA_1781,15535,25997,16237,10064,20440,15813,14567,18512
SSA_1946,24826,32954,20444,14593,26696,22045,22659,21750
bacA,10577,15848,8750,6663,11545,9746,9213,11917
SSA_2077,10525,18831,11179,9366,13009,14764,11196,10771
SSA_2314,4014,7183,5201,2353,5692,4642,3758,4442
SSA_2371,3376,5112,2736,2470,4059,3250,2869,3896
SSA_0305,7062,13802,8104,4928,11262,8450,6691,10296
gatC,5129,7861,5499,3125,7634,5460,4411,6296
divIB,22338,34923,23060,16991,26111,26650,21964,24264
SSA_0664,30719,70879,45365,28083,43153,51476,33295,43650
SSA_0461,69326,107104,65164,35176,99301,61620,58424,83193
phaB,6223,9091,4943,3733,7143,5631,4959,9410
SSA_0210,3184,4630,2586,1786,3880,2274,2317,3873
ntpI,117416,183039,115604,60991,143698,104273,91911,140645
SSA_1018,43473,66069,49628,24786,62399,46162,39571,52426
SSA_1191,8,8,8,4,13,5,11,9
SSA_2134,189,256,185,112,196,214,152,174
SSA_1665,15,43,26,22,30,36,33,28
dagA,4572,6944,4694,2774,6049,5006,3932,5700
SSA_0734,7845,16089,10112,5718,11993,10029,8888,11581
SSA_1327,18332,36519,28622,13480,24164,28503,18320,24060
SSA_0933,6374,11115,7728,4526,7846,7263,6397,8720
SSA_0146,553,920,687,352,797,713,532,705
SSA_2186,29439,51553,35151,19405,47111,33810,29645,36396
gtrB,5324,7942,4510,3439,6590,4706,4369,6165
SSA_0643,18,40,15,15,23,34,23,24
SSA_1815,39756,64482,50401,26949,46755,51100,35381,50820
SSA_0099,743,1269,708,722,996,1230,793,982
trpE,2540,3564,2522,1399,2840,2391,1882,3154
SSA_1322,19659,33037,19779,12075,25651,19507,18244,22250
SSA_1562,9113,19334,11486,8712,14018,15067,11957,12756
SSA_0564,30465,42590,26674,16672,40478,26916,25627,35572
SSA_2137,3383,5239,3323,1849,4400,3094,2707,3815
SSA_0736,15948,31650,18525,12132,23902,20272,17579,22389
crpB,86545,124107,91669,44681,119766,81621,75707,102568
SSA_1039,52085,85620,51194,33326,65608,54848,45433,62164
rgpD,27988,42907,26175,16896,33538,26864,25589,29745
SSA_0592,33751,54322,32321,20159,45118,33302,33281,39813
SSA_2019,627,868,519,446,714,576,536,709
SSA_0967,1082,1674,1029,682,1357,1038,947,1231
SSA_0985,2680,4457,3008,1788,3818,2516,2518,3381
SSA_0601,6441,11038,6882,3667,8940,6037,5231,8092
dinG,26897,46890,27738,17037,35485,27288,25715,31485
SSA_2258,22440,49048,32614,17642,34171,30728,24021,32442
metS,35846,62079,39424,22915,52090,35679,32964,42626
SSA_0453,13469,32398,21351,11738,24024,21838,15545,24540
SSA_1418,34598,67908,42438,23785,51101,45050,35265,48434
recX,3712,7288,5570,3444,5334,6743,4532,5758
SSA_0272,6535,13926,11131,4224,10785,8813,6591,13092
SSA_1401,1505,2365,1758,1073,2018,1755,1552,2042
thyA,5466,6763,4397,3076,5749,4355,4245,5975
nadE,19668,32193,19730,11130,26227,17161,17524,22456
SSA_0316,16738,25431,18660,8528,25343,16143,12735,22629
thrS,96630,157424,98610,54452,142606,93969,84290,120434
SSA_0420,3608,5047,3408,1790,4342,3006,2620,4127
SSA_0157,1577,2490,1401,1153,1791,1510,1185,2335
SSA_2300,14524,23424,13902,12260,17482,21649,15839,17533
adcB,7012,10458,6060,4306,8220,6490,6143,7590
SSA_1990,2137,3432,2255,1423,2498,2874,2217,2483
mleR,6843,13893,10552,6074,11023,11021,8240,10880
blpT,856,2429,2015,907,1713,1889,1185,2134
SSA_2453,1,0,0,0,0,0,2,1
pheS,15524,23458,15177,8634,20784,14638,12861,20328
SSA_1530,34262,60047,34381,21876,45454,35152,31806,40494
SSA_0368,4156,9090,6117,3509,6353,6242,4660,5476
cobL,11568,16903,13637,5553,15664,11183,9519,16011
polC,110564,165485,110973,56520,153377,100731,91384,138307
rnpA,909,1575,628,852,1225,1162,831,1446
SSA_1770,5011,7035,5013,2386,6660,3861,3356,5836
SSA_0269,3718,8274,6498,2423,6526,5508,4008,6532
SSA_1554,20902,39972,22787,16462,32469,26660,23096,26616
comYA,126,166,125,57,195,117,88,142
ssb2,277,410,348,142,402,349,218,341
SSA_0958,1225,1954,1457,776,1653,1640,1033,1622
ciaR,15523,31940,19245,12650,22492,20387,16570,20712
cinA,16631,27478,18454,9382,23702,15452,13531,20417
SSA_1251,51470,106440,67821,44896,72546,79573,58362,85632
SSA_1965,15087,26436,15970,9289,20287,15611,14190,17526
engB,24199,44129,26650,18612,34351,26332,27341,26289
SSA_1570,2835,5998,4091,2882,4509,5474,3427,4292
SSA_1020,949,1343,764,790,916,1226,783,1021
pbp3,10168,16598,10839,6844,15168,10537,9415,13497
SSA_2103,194,253,129,111,155,170,142,216
SSA_0973,11906,22848,14770,9231,16951,16309,12868,17301
SSA_1403,5092,7654,5258,2904,5969,4832,4143,6512
rplK,16807,26903,13454,11903,23330,15410,15381,23499
aroB,32794,51475,31516,16198,45261,27954,27217,42891
SSA_1766,2488,4158,2695,2011,2912,3763,2529,3464
alkD,2198,3527,2677,1546,2659,2656,2161,2701
ntpC,87223,128610,84752,40375,112060,75080,69451,114398
SSA_1920,84129,168388,100923,63682,133387,112445,92549,108973
purF,3202,4612,3834,1643,3966,3258,2545,4962
pduC,458,913,613,275,804,541,456,635
SSA_1855,21412,34760,21458,13464,29281,22446,19977,26298
SSA_0105,6480,10459,6764,3736,9269,6592,6235,7368
smf,38,78,55,21,67,53,33,64
SSA_1305,11530,21972,12249,9155,15355,13687,12422,14073
SSA_1814,29416,49181,39740,20562,35154,41023,26915,37550
SSA_1196,2233,3523,2675,1551,2747,2620,2062,2882
eutD,64742,116157,69669,38206,90270,63976,57955,79384
SSA_1624,830,1577,1047,751,1155,1189,716,1274
SSA_2171,23474,40907,25546,15612,31438,26921,23088,31183
SSA_0065,1409,2596,1417,1083,2060,1598,1272,2277
oppA,28916,57987,37017,20139,44231,35320,28711,36971
SSA_0596,1177,1973,1145,691,1721,1104,1099,1466
SSA_0727,1659,3033,1934,1193,2172,2224,1571,2517
SSA_1899,6401,9594,6251,3905,7599,5997,5865,7424
SSA_0409,567,881,535,314,733,542,510,701
