Tags.matched.to.6653.Candida.albicans.ORF19.genome.features...elements,C..albicans.only,C..albicans...S..gordonii,C..albicans...growth.medium..YPT.Glc.,C..albicans.only.1,C..albicans...S..gordonii.1,C..albicans...growth.medium..YPT.Glc..1,C..albicans.only.2,C..albicans...S..gordonii.2,C..albicans...growth.medium..YPT.Glc..2
ID_orf19_7250_Name_orf19_7250_Note_Ortholog_s__have_protein_phosphatase_inhibitor_activity_2C_role_in_glycogen_metabolic_process_2C_protein_dephosphorylation_and_nucleus_localization_orf_classification_Uncharacterized_Alias_YPI2_IPF5257_1_Contig4-2986_0001_orf6_8150_CA5368_CaO19_7250_IPF5257,333,127,361,231,62,221,230,96,222
ID_orf19_7251_Name_orf19_7251_Gene_WSC4_Note_Putative_cell_wall_integrity_and_stress_response_subunit_4_precursor_B_transcription_is_specific_to_white_cell_type_orf_classification_Uncharacterized_Alias_IPF5256_1_Contig4-2986_0002_orf6_8151_CA5369_CaO19_7251,784,274,984,1422,193,1230,1018,410,1173
ID_orf19_7252_Name_orf19_7252_orf_classification_Dubious_Alias_IPF27358_1_orf6_8152_CaO19_7252,15,1,7,6,0,8,7,4,11
ID_orf19_7254_Name_orf19_7254_orf_classification_Uncharacterized_Alias_IPF5248_1_Contig4-2986_0003_Contig4-2986_0005_orf6_8154_CA5370_CaO19_7254_IPF5248,387,221,494,562,143,528,455,169,485
ID_orf19_7255_Name_orf19_7255_Gene_RPC10_Note_Putative_RNA_polymerase_subunit_ABC10-alpha_of_RNA_polymerase_complexes_I_2C_II_2C_and_III_B_flucytosine_induced_orf_classification_Uncharacterized_Alias_IPF5246_1_Contig4-2986_0006_orf6_8155_CA5371_CaO19_7255,616,155,474,256,31,281,161,69,256
ID_orf19_7257_Name_orf19_7257_Note_Ortholog_s__have_role_in_mismatch_repair_2C_reciprocal_meiotic_recombination_and_MutLbeta_complex_localization_orf_classification_Uncharacterized_Alias_MLH3_IPF5245_2_Contig4-2986_0007_orf6_8157_CA5372_CaO19_7257,314,189,479,424,120,462,402,181,467
ID_orf19_7258_Name_orf19_7258_Gene_DDI1_Note_Putative_DNA_damage_inducible_v-SNARE_binding_protein_B_macrophage_2Fpseudohyphal-repressed_orf_classification_Uncharacterized_Alias_IPF5241_2_Contig4-2986_0012_orf6_8158_CA5374_CaO19_7258,811,594,1340,1852,501,1570,1244,830,1359
ID_orf19_726_Name_orf19_726_Gene_PPZ1_Note_Putative_protein_phosphatase_of_the_Type_1_family__serine_2Fthreonine-specific__2C_similar_to_S__cerevisiae_Ppz1p_orf_classification_Uncharacterized_Alias_orf19_8345_IPF26577_1_IPF13615_1_Contig4-2831_0012_orf6_6017_CA3683_CaO19_8345_CaO19_726,876,415,805,872,189,833,598,363,803
ID_orf19_7260_Name_orf19_7260_Note_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_IPF5239_2_Contig4-2986_0013_orf6_8160_CA5375_CaO19_7260_IPF5239,243,82,233,201,79,187,132,124,204
ID_orf19_7261_Name_orf19_7261_Note_Ortholog_s__have_Rab_GDP-dissociation_inhibitor_activity_2C_role_in_vesicle-mediated_transport_and_cell_division_site_2C_cytosol_2C_membrane_fraction_2C_soluble_fraction_localization_orf_classification_Uncharacterized_Alias_GDI1_IPF5237_2_Contig4-2986_0014_orf6_8161_CA5376_CaO19_7261,1532,974,2319,1259,483,1388,1221,942,1232
ID_orf19_7263_Name_orf19_7263_Note_Ortholog_s__have_cytoplasm_localization_orf_classification_Uncharacterized_Alias_IPF5234_2_Contig4-2986_0015_Contig4-2986_0016_orf6_8163_CA5377_CaO19_7263_IPF5234,1059,406,1400,829,213,754,668,350,707
ID_orf19_7264_Name_orf19_7264_Note_Ortholog_s__have_ubiquitin-specific_protease_activity_and_role_in_mitochondrial_fission_2C_peroxisome_fission_2C_proteasomal_ubiquitin-dependent_protein_catabolic_process_2C_protein_deubiquitination_orf_classification_Uncharacterized_Alias_RPN11_MPR1_IPF5231_1_Contig4-2986_0017_orf6_8164_CA5378_CaO19_7264,2450,1108,3902,5055,938,3559,2977,1328,2574
ID_orf19_7265_Name_orf19_7265_Note_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_UBP10_IPF5228_1_Contig4-2986_0018_orf6_8165_CA5379_CaO19_7265_IPF5228_5,126,32,146,72,35,52,85,39,64
ID_orf19_7266_Name_orf19_7266_orf_classification_Uncharacterized_Alias_IPF5225_1_Contig4-2986_0021_orf6_8166_CaO19_7266,17,16,23,23,5,10,12,17,19
ID_orf19_7267_Name_orf19_7267_Note_Ortholog_s__have_role_in_mitochondrial_outer_membrane_translocase_complex_assembly_2C_protein_import_into_mitochondrial_outer_membrane_and_mitochondrial_sorting_and_assembly_machinery_complex_localization_orf_classification_Uncharacterized_Alias_IPF5224_1_Contig4-2986_0022_orf6_8167_CA5380_CaO19_7267_IPF5224,55,47,71,42,15,27,53,22,65
ID_orf19_7269_Name_orf19_7269_Note_Ortholog_s__have_aralkylamine_N-acetyltransferase_activity_2C_diamine_N-acetyltransferase_activity_2C_role_in_chromatin_organization_and_cytoplasm_localization_orf_classification_Uncharacterized_Alias_PAA11_IPF5222_1_Contig4-2986_0024_orf6_8169_CA5381_CaO19_7269_IPF5222,973,422,1275,493,115,484,459,217,413
ID_orf19_727_Name_orf19_727_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_member_of_a_family_encoded_by_FGR6-related_genes_in_the_RB2_repeat_sequence_orf_classification_Uncharacterized_Alias_IFV1_orf19_8346_IPF26578_1_IPF20143_1_Contig4-1855_0001_orf6_6016_CA3682_CaO19_8346_CaO19_727,331,174,361,202,57,260,132,133,184
ID_orf19_7270_Name_orf19_7270_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_808740_orf_classification_Uncharacterized_Alias_IPF5217_1_Contig4-2986_0029_orf6_8170_CA5382_CaO19_7270_IPF5217,114,35,121,139,62,75,89,148,138
ID_orf19_7271_Name_orf19_7271_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_transcription_detected_in_high-resolution_tiling_array_experiments_orf_classification_Uncharacterized_Alias_IPF5214_1_Contig4-2986_0030_orf6_8171_CaO19_7271,1476,806,1713,1631,659,2020,1767,1024,1464
ID_orf19_7272_Name_orf19_7272_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_transcription_detected_in_high-resolution_tiling_array_experiments_orf_classification_Uncharacterized_Alias_IPF13996_1_Contig4-2986_0033_orf6_8172_CaO19_7272,213,78,256,151,43,206,163,72,163
ID_orf19_7274_Name_orf19_7274_Note_Predicted_ORF_in_retrotransposon_Zorro2_with_similarity_to_retroviral_reverse_transcriptase_proteins_orf_classification_Uncharacterized_Alias_IPF14001_1_Contig4-2250_0004_Contig4-2250_0005_Contig4-2986_0035_orf6_8173_orf6_8174_CA5383_CA5384_orf19_7273_Zorro1b_5f,391,109,471,245,80,388,381,148,273
ID_orf19_7275_Name_orf19_7275_Gene_FGR24_Note_Protein_encoded_in_retrotransposon_Zorro2_with_similarity_to_retroviral_endonuclease-reverse_transcriptase_proteins_B_lacks_an_ortholog_in_S__cerevisiae_B_transposon_mutation_affects_filamentous_growth_orf_classification_Verified_Alias_IPF14003_1_Contig4-2250_0008_Contig4-2250_0010_orf6_8175_orf6_8177_CA5385_Zorro2b_3f,314,117,347,149,65,333,330,141,184
ID_orf19_7276_1_Name_orf19_7276_1_Gene_TLO4_Note_Member_of_a_family_of_telomere-proximal_genes_of_unknown_function_B_transcription_is_upregulated_in_an_RHE_model_of_oral_candidiasis_B_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_IPF14006_2_CA5387_CTA213_3_CTA24_3,197,82,147,43,31,90,92,41,92
ID_orf19_7277_Name_orf19_7277_Note_Predicted_ORF_in_retrotransposon_Zorro2_with_similarity_to_zinc_finger-containing_retroviral_nucleocapsid_proteins_B_un-merged_from_orf19_7275_in_a_revision_of_Assembly_21_based_on_comparative_genome_analysis_and_new_sequence_data_orf_classification_Uncharacterized_Alias_orf6_8177_CA5386_CaO19_7277_Zorro2b_5f_IPF14005_1,177,57,189,253,91,327,356,235,234
ID_orf19_7278_Name_orf19_7278_Note_Similar_to_a_region_of_the_Tca2__pCal__retrotransposon_2C_which_is_present_in_strain_hOG1042_as_50_to_100_copies_of_a_linear_dsDNA_orf_classification_Uncharacterized_Alias_IPF18110_1_orf6_8178,1492,1010,1804,1445,1117,2265,1878,1601,1919
ID_orf19_7279_1_Name_orf19_7279_1_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_200890_2C_CPAR2_201160_orf_classification_Uncharacterized,76,25,85,12,18,12,39,43,8
ID_orf19_7279_Name_orf19_7279_Note_Ortholog_s__have_cytosol_2C_nucleus_localization_orf_classification_Uncharacterized_Alias_NIT2_IPF2865_1_Contig4-2992_0004_orf6_8360_CA5523_CaO19_7279,361,108,371,162,41,193,172,125,141
ID_orf19_728_Name_orf19_728_Gene_TSC11_Note_Protein_similar_to_S__cerevisiae_Tsc11p_which_is_involved_in_sphingolipid_biosynthesis_B_transposon_mutation_affects_filamentous_growth_orf_classification_Verified_Alias_orf19_8347_IPF26588_1_IPF19787_1_orf6_6015_CA3681_CaO19_728_IPF19787,655,257,640,417,179,756,466,273,515
ID_orf19_7280_Name_orf19_7280_orf_classification_Dubious_Alias_IPF27333_1_orf6_8361_CaO19_7280,0,0,6,3,0,2,1,0,6
ID_orf19_7281_Name_orf19_7281_Gene_PDK2_Note_Putative_pyruvate_dehydrogenase_kinase_B_mutation_confers_hypersensitivity_to_amphotericin_B_orf_classification_Verified_Alias_IPF2861_1_Contig4-2992_0008_orf6_8362_CA5524_CaO19_7281_IPF2861,868,305,854,407,119,507,828,299,499
ID_orf19_7282_Name_orf19_7282_Gene_PEX13_Note_Protein_required_for_peroxisomal_protein_import_mediated_by_PTS1_and_PTS2_targeting_sequences_B_transcription_is_upregulated_in_an_RHE_model_of_oral_candidiasis_B_Hap43p-repressed_gene_orf_classification_Verified_Alias_IPF2859_1_Contig4-2992_0012_orf6_8363_CA5525_CaO19_7282,626,212,674,538,127,525,549,238,446
ID_orf19_7283_Name_orf19_7283_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_201190_orf_classification_Uncharacterized_Alias_IPF2858_1_Contig4-2992_0013_orf6_8364_CaO19_7283,10,13,14,7,2,2,10,2,14
ID_orf19_7284_Name_orf19_7284_Gene_ASR2_Note_Gene_regulated_by_cAMP_and_by_osmotic_stress_B_greater_mRNA_abundance_observed_in_a_cyr1_or_ras1_homozygous_null_mutant_than_in_wild_type_B_stationary_phase_enriched_protein_orf_classification_Uncharacterized_Alias_IPF2857_1_IPF2857_Contig4-2992_0014_orf6_8365_CA5526_CaO19_7284,1155,89,772,409,47,178,336,113,156
ID_orf19_7285_Name_orf19_7285_Note_Ortholog_s__have_role_in_mRNA_cleavage_2C_mRNA_polyadenylation_2C_snoRNA_3_27-end_processing_2C_termination_of_RNA_polymerase_II_transcription_2C_exosome-dependent_2C_termination_of_RNA_polymerase_II_transcription_2C_poly_A_-coupled_orf_classification_Uncharacterized_Alias_PTI1_IPF2856_1_Contig4-2992_0015_orf6_8366_CA5527_CaO19_7285_IPF2856,465,243,575,389,80,299,210,143,318
ID_orf19_7286_Name_orf19_7286_Gene_RPN7_Note_Subunit_of_the_proteasome_regulatory_particle_B_regulated_by_Gcn2p_and_Gcn4p_B_protein_present_in_exponential_and_stationary_growth_phase_yeast_cultures_orf_classification_Uncharacterized_Alias_IPF2855_1_Contig4-2992_0017_Contig4-2992_0018_orf6_8367_orf6_8368_CA5528_orf19_7287_CaO19_7286,1907,785,2481,1933,330,1677,1237,521,1276
ID_orf19_7288_Name_orf19_7288_Note_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_ACD99_IPF2852_1_Contig4-2992_0020_orf6_8369_CA5529_CaO19_7288_IPF2852,332,170,451,460,76,401,469,160,260
ID_orf19_729_1_Name_orf19_729_1_Gene_RGD3_Note_Putative_Rho_GTPase_activating_protein_B_fungal-specific__no_human_or_murine_homolog__orf_classification_Uncharacterized_Alias_RGD2_orf19_8349_orf19_10157_IPF24710_1_IPF20080_1_IPF26570_1_IPF20142_1_Contig4-2668_0002_Contig4-2829_0004_orf6_2648_orf6_5661_orf6_6013_CA3679_orf19_2626_CaO19_730_CaO19_8349,2690,1397,3359,1164,461,1250,917,823,1161
ID_orf19_729_Name_orf19_729_Note_Protein_similar_to_S__cerevisiae_She3p_2C_an_adaptor_protein_required_for_specific_mRNA_transport_B_transposon_mutation_affects_filamentous_growth_orf_classification_Verified_Alias_orf19_8348_orf19_10158_IPF24713_1_IPF12772_1_IPF26582_1_IPF8395_2_orf6_6014_orf6_2647_CA3680_orf19_2627_SHE3-3_CaO19_8348_CaO19_729_IPF8395,372,136,493,239,87,430,325,171,311
ID_orf19_7290_Name_orf19_7290_Note_Ortholog_s__have_RNA_cap_binding_activity_2C_role_in_deadenylation-dependent_decapping_of_nuclear-transcribed_mRNA_and_cytoplasmic_mRNA_processing_body_2C_cytosol_2C_mRNA_cap_binding_complex_2C_nucleus_localization_orf_classification_Uncharacterized_Alias_LSM1_SPB8_IPF2850_1_Contig4-2992_0021_orf6_8371_CA5530_CaO19_7290,908,307,611,1466,301,1106,690,435,1047
ID_orf19_7291_Name_orf19_7291_Note_Ortholog_s__have_tRNA__adenine-N1-_-methyltransferase_activity_2C_role_in_tRNA_methylation_and_cytosol_2C_nucleus_2C_tRNA__m1A__methyltransferase_complex_localization_orf_classification_Uncharacterized_Alias_GCD14_IPF2848_1_Contig4-2774_0010_Contig4-2992_0023_orf6_8372_CA5531_CaO19_7291,306,146,423,1281,247,697,425,147,767
ID_orf19_7292_Name_orf19_7292_Gene_ARP2_Note_Putative_component_of_the_Arp2_2F3_complex_B_required_for_virulence_2C_hyphal_growth_2C_and_cell_wall_and_cytoskeleton_organization_2C_but_not_for_endocytosis_B_mutation_confers_hypersensitivity_to_cytochalasin_D_B_regulated_by_Gcn2p_and_Gcn4p_orf_classification_Verified_Alias_IPF2847_1_Contig4-2774_0007_orf6_8373_CA5532_CaO19_7292,3258,1249,3457,3045,888,3802,3134,1434,2527
ID_orf19_7293_Name_orf19_7293_Gene_MPS1_Note_Monopolar_spindle_protein_2C_a_putative_kinase_B_essential_for_growth_B_periodic_mRNA_expression_2C_peak_at_cell-cycle_S_2FG2_phase_orf_classification_Uncharacterized_Alias_IPF2846_1_Contig4-2774_0006_orf6_8374_CA5533_CaO19_7293_IPF2846,419,124,367,401,81,381,116,93,319
ID_orf19_7295_Name_orf19_7295_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_701520_orf_classification_Uncharacterized_Alias_SCD5_IPF2843_1_Contig4-2774_0003_Contig4-2774_0004_orf6_8376_CA5534_CaO19_7295_IPF2843,313,128,383,225,84,316,188,141,311
ID_orf19_7296_Name_orf19_7296_Note_Putative_cation_conductance_protein_B_similar_to_stomatin_mechanoreception_protein_B_plasma-membrane_localized_B_induced_by_Rgt1p_orf_classification_Verified_Alias_SLP99_IPF2839_1_Contig4-2774_0002_orf6_8377_CA5535_CaO19_7296_IPF2839,1943,1261,3417,1261,1478,2392,2877,1765,1461
ID_orf19_7297_Name_orf19_7297_Note_Putative_cystathionine_gamma-synthase_B_decreased_levels_in_stationary_phase_cultures_B_Hog1p-induced_B_Gcn4p-regulated_orf_classification_Uncharacterized_Alias_IPF2837_2_Contig4-2774_0001_Contig4-2774_0012_orf6_8378_CA5536_CaO19_7297_IPF2837,927,329,989,1200,1990,1800,1087,1490,1170
ID_orf19_7298_Name_orf19_7298_Gene_CHS2_Note_Chitin_synthase_B_nonessential_B_required_for_wild-type_chitin_deposition_in_hyphae_B_transcription_is_regulated_during_dimorphic_transition_B_Chs1p_and_Chs2p_2C_but_not_Chs3p_2C_are_inhibited_by_the_protoberberine_HWY-289_B_fungal-specific_orf_classification_Verified_Alias_IPF2836_1_Contig4-2472_0001_orf6_8379_CA5537_CaO19_7298,1622,1162,2479,1149,526,1950,1168,779,1204
ID_orf19_7299_1_Name_orf19_7299_1_orf_classification_Dubious_Alias_IPF27337_1,95,57,120,19,31,79,55,43,59
ID_orf19_73_Name_orf19_73_Note_Ortholog_s__have_role_in_ribosome_biogenesis_and_cytoplasm_2C_ribosome_localization_orf_classification_Uncharacterized_Alias_orf19_7724_IPF17657_3_IPF17430_1_orf6_22_orf6_1372_orf6_79_CA0011_orf19_62_CaO19_73_IPF17430_5eoc_IPF17430,964,330,741,411,142,909,574,213,504
ID_orf19_730_Name_orf19_730_Note_Ortholog_s__have_Rho_GTPase_activator_activity_2C_role_in_establishment_or_maintenance_of_actin_cytoskeleton_polarity_2C_small_GTPase_mediated_signal_transduction_and_cell_cortex_of_cell_tip_2C_cellular_bud_neck_2C_medial_cortex_localization_orf_classification_Uncharacterized_Alias_IPF20142_1_orf6_6013_CA3679_IPF20142,2992,1582,3711,1227,490,1425,1038,878,1255
ID_orf19_7300_Name_orf19_7300_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_701480_orf_classification_Uncharacterized_Alias_IPF2830_1_Contig4-2472_0004_orf6_8381_CA5538_CaO19_7300_IPF2830,89,36,99,20,14,75,84,27,64
ID_orf19_7301_Name_orf19_7301_Note_Has_domain_s__with_predicted_DNA_binding_activity_orf_classification_Uncharacterized_Alias_IPF2829_1_Contig4-2245_0002_Contig4-2245_0004_orf6_1910_orf6_8382_orf6_8383_CA5539_CA5540_orf19_7302_Cirt1b_3f,95,15,70,27,35,91,105,51,127
ID_orf19_7303_Name_orf19_7303_orf_classification_Uncharacterized_Alias_IPF2827_2_Contig4-2245_0006_orf6_8384_CA5541_CaO19_7303_IPF2827,112,52,89,40,5,64,64,16,36
ID_orf19_7304_Name_orf19_7304_Note_Hap43p-induced_gene_B_expression_is_upregulated_early_upon_infection_of_reconstituted_human_epithelium__RHE__2C_while_expression_of_the_C__dubliniensis_ortholog_is_not_upregulated_B_not_required_for_viability_orf_classification_Uncharacterized_Alias_IPF19812_1_Contig4-2245_0009_orf6_8385_CA5542_IPF19812_CaO19_7304,1046,242,982,765,186,1117,1265,364,927
ID_orf19_7305_Name_orf19_7305_orf_classification_Uncharacterized_Alias_IPF5988_1_Contig4-2983_0002_orf6_8386_CA5543_CaO19_7305_IPF5988,173,328,672,242,73,456,372,194,307
ID_orf19_7306_Name_orf19_7306_Note_Aldo-keto_reductase_family_protein_B_increased_transcription_associated_with_MDR1_overexpression_2C_benomyl_or_long-term_fluconazole_treatment_B_overexpression_does_not_affect_drug_or_oxidative_stress_sensitivity_B_stationary_phase_enriched_orf_classification_Uncharacterized_Alias_IPF5987_Contig4-2983_0004_YPR127W_IPF5987_1_orf6_8387_CA5544_YPR127_CaO19_7306,116,114,315,146,58,218,354,101,235
ID_orf19_7307_Name_orf19_7307_Note_Putative_oxidoreductase_B_similar_to_S__cerevisiae_Pga3p_B_possible_Kex2p_substrate_orf_classification_Uncharacterized_Alias_orf6_8388_IPF5986_1_Contig4-2983_0005_CA5545_CaO19_7307_IPF5986,567,230,621,533,128,810,388,145,440
ID_orf19_7308_Name_orf19_7308_Gene_TUB1_Note_Alpha-tubulin_B_gene_has_intron_B_complements_cold-sensitivity_of_S__cerevisiae_tub1_mutant_B_C__albicans_has_single_alpha-tubulin_gene_2C_whereas_S__cerevisiae_has_two__TUB1_2C_TUB3__B_farnesol-upregulated_in_biofilm_B_sumoylation_target_orf_classification_Verified_Alias_IPF5983_1_Contig4-2983_0007_orf6_8389_CA5546_TUB1_3,6250,3151,7143,6231,1884,7986,5257,2777,5916
ID_orf19_731_Name_orf19_731_Gene_EMP46_Note_Protein_similar_to_S__cerevisiae_Emp46p_B_transcription_is_induced_in_response_to_alpha_pheromone_in_SpiderM_medium_orf_classification_Uncharacterized_Alias_orf19_8350_IPF26580_1_IPF8392_1_Contig4-2668_0003_orf6_6012_CA3678_CaO19_731_CaO19_8350_IPF8392,714,302,891,1474,319,2019,1120,463,1350
ID_orf19_7310_Name_orf19_7310_Note_Protein_similar_to_S__cerevisiae_Gin3p_B_transcription_is_upregulated_in_response_to_treatment_with_ciclopirox_olamine_B_positively_regulated_by_Sfu1p_B_Hog1p_2C_fluconazole-downregulated_B_Hap43p-induced_orf_classification_Uncharacterized_Alias_orf6_8391_IPF5981_IPF5981_1_Contig4-2983_0010_CA5547_CaO19_7310,3208,276,1898,1070,91,481,1234,175,297
ID_orf19_7311_Name_orf19_7311_orf_classification_Uncharacterized_Alias_IPF5978_1_Contig4-2983_0015_orf6_8392_CA5548_CaO19_7311_IPF5978,177,50,108,41,23,66,85,32,47
ID_orf19_7312_Name_orf19_7312_Gene_ERG13_Note_3-hydroxy-3-methylglutaryl_coenzyme_A_synthase_B_ergosterol_biosynthesis_protein_B_sumoylation_target_B_transposon_mutation_affects_filamentous_growth_B_amphotericin_B_2C_caspofungin_repressed_B_exponential_and_stationary_growth_phase_expressed_orf_classification_Verified_Alias_IPF5977_1_Contig4-2983_0016_orf6_8393_CA5549_CaO19_7312,6298,2500,6835,3239,1412,6311,3899,2142,3917
ID_orf19_7313_Name_orf19_7313_Gene_SSU1_Note_Protein_similar_to_S__cerevisiae_Ssu1p_sulfite_transport_protein_B_transposon_mutation_affects_filamentous_growth_B_regulated_by_Gcn2p_and_Gcn4p_B_induced_by_nitric_oxide_B_Hap43p-repressed_B_biofilm-induced_orf_classification_Verified_Alias_SSU11_IPF5976_1_Contig4-2983_0020_orf6_8394_CA5550_CaO19_7313,224,57,192,46,19,34,61,29,41
ID_orf19_7314_Name_orf19_7314_Gene_CDG1_Note_Putative_cysteine_dioxygenases_B_expression_is_regulated_upon_white-opaque_switching_B_transcription_is_upregulated_in_both_intermediate_and_mature_biofilms_orf_classification_Uncharacterized_Alias_IPF5972_1_Contig4-2983_0023_orf6_8395_CA5551_CaO19_7314_IPF5972,667,417,756,131,28,101,282,37,117
ID_orf19_7316_Name_orf19_7316_Note_Putative_phytanoyl-CoA_dioxygenase_family_protein_B_mutation_confers_hypersensitivity_to_5-fluorocytosine__5-FC__2C_5-fluorouracil__5-FU__2C_and_tubercidin__7-deazaadenosine__B_induced_by_nitric_oxide_orf_classification_Verified_Alias_IPF5971_1_Contig4-2983_0024_Contig4-2983_0025_orf6_8397_CA5552_CaO19_7316_IPF5971,309,158,345,145,58,298,244,106,223
ID_orf19_7317_Name_orf19_7317_Gene_UGA33_Note_Zinc-finger_transcription_factor_B_similar_to_S__cerevisiae_Uga3p_which_regulates_gamma-aminobutyrate_metabolism_gene_expression_B_required_for_yeast_cell_adherence_to_silicone_substrate_orf_classification_Verified_Alias_IPF5969_2_Contig4-2511_0002_Contig4-2983_0026_orf6_8398_orf6_8399_CA5553_CA5554_orf19_7318_IPF1960_3f,534,157,493,326,66,494,394,192,316
ID_orf19_7319_Name_orf19_7319_Gene_SUC1_Note_Zinc-finger_transcription_factor_B_regulates_alpha-glucosidase_exression_B_complements_S__cerevisiae_suc2_mutant_sucrose_utilization_defect_and_mal13_mutant_maltase_defect_B_required_for_yeast_cell_adherence_to_silicone_substrate_orf_classification_Verified_Alias_IPF1962_1_Contig4-2511_0004_orf6_8400_CA5555_CaO19_7319,517,179,529,72,44,217,127,122,157
ID_orf19_732_Name_orf19_732_Note_Transcription_upregulated_in_both_intermediate_and_mature_biofilms_orf_classification_Uncharacterized_Alias_SOU3_orf19_8351_IPF26584_1_IPF8391_2_Contig4-2668_0006_orf6_6011_CA3677_CaO19_732_CaO19_8351,212,82,240,57,77,220,202,147,142
ID_orf19_7320_Name_orf19_7320_Gene_LIP7_Note_Probable_lipase_2C_part_of_a_gene_family_whose_members_are_differentially_expressed_during_infection_B_lacks_a_signal_sequence_for_secretion_2C_unlike_other_family_members_B_may_have_a_role_in_nutrition_or_in_creating_an_acidic_microenvironment_orf_classification_Uncharacterized_Alias_IPF1964_2_Contig4-2511_0006_orf6_8401_CA5556_CaO19_7320,21,18,35,13,9,16,16,14,22
ID_orf19_7321_Name_orf19_7321_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_701330_orf_classification_Uncharacterized_Alias_IPF1968_2_Contig4-2511_0007_Contig4-2511_0008_orf6_8402_CA5557_CaO19_7321_IPF1968,493,316,735,544,220,1079,492,508,675
ID_orf19_7322_Name_orf19_7322_Note_Ortholog_s__have_cytosol_2C_nucleus_2C_ribosome_localization_orf_classification_Uncharacterized_Alias_IPF1969_1_Contig4-2511_0010_orf6_8403_CA5558_CaO19_7322_IPF1969,913,341,990,1929,322,2385,1353,489,2011
ID_orf19_7323_Name_orf19_7323_Gene_CBP1_Note_Corticosteroid_binding_protein_B_transcription_induced_at_late_log-phase_or_upon_adherence_to_polystyrene_B_not_induced_by_corticosterone_B_contains_a_possible_NAD_2FFAD_binding_region_B_regulated_by_Nrg1p_2C_Tup1p_orf_classification_Verified_Alias_CBP_IPF1971_2_orf6_8404_CA5559_CaO19_7323,5460,2162,6128,3051,1357,5613,3807,2303,3869
ID_orf19_7324_Name_orf19_7324_Gene_THI13_Note_Protein_similar_to_S__cerevisiae_Thi13p_which_is_involved_in_synthesis_of_the_thiamine_precursor_hydroxymethylpyrimidine_B_iinduced_by_nitric_oxide_independent_of_Yhb1p_B_not_essential_for_viability_orf_classification_Uncharacterized_Alias_IPF1974_1_Contig4-3033_0005_orf6_8405_CA5560_CaO19_7324,99,48,91,117,46,194,131,76,104
ID_orf19_7325_Name_orf19_7325_Gene_SCO1_Note_Putative_copper_transporter_B_Hap43p-repressed_gene_orf_classification_Verified_Alias_IPF1975_1_Contig4-3033_0006_orf6_8406_CA5561_CaO19_7325,1594,675,1901,1389,328,1643,976,573,1156
ID_orf19_7326_Name_orf19_7326_Note_Ortholog_s__have_protein-lysine_N-methyltransferase_activity_2C_role_in_peptidyl-lysine_dimethylation_and_cytoplasm_2C_nucleus_localization_orf_classification_Uncharacterized_Alias_IPF1977_2_Contig4-3033_0007_Contig4-3033_0008_orf6_8407_CA5562_IPF1977_CaO19_7326,1025,414,1058,1395,344,1373,997,472,880
ID_orf19_7327_Name_orf19_7327_Gene_PHO88_Note_Protein_with_a_role_in_phosphate_transport_B_biofilm-regulated_expression_B_amphotericin_B_repressed_orf_classification_Verified_Alias_IPF1978_1_Contig4-3033_0009_orf6_8408_CA5563_CaO19_7327,2235,780,2291,2463,513,2531,1704,792,2096
ID_orf19_7328_Name_orf19_7328_Note_Gene_transcription_regulated_by_Mig1p_and_Tup1p_orf_classification_Uncharacterized_Alias_CAP100_orf6_8409_IPF1980_1_Contig4-3033_0011_CA5564_CaO19_7328_IPF1980,3488,2327,6742,1917,768,3770,2851,1632,2255
ID_orf19_7329_Name_orf19_7329_Note_Ortholog_s__have_ubiquitin-protein_ligase_activity_orf_classification_Uncharacterized_Alias_QRI8_IPF1981_1_Contig4-3033_0014_orf6_8410_CA5565_CaO19_7329,1402,1129,1824,568,276,1073,697,532,718
ID_orf19_733_Name_orf19_733_Note_Ortholog_s__have_endoplasmic_reticulum_localization_orf_classification_Uncharacterized_Alias_ZSP12_orf19_8352_IPF26581_1_IPF20141_1_Contig4-2506_0007_orf6_6010_CaO19_8352_CaO19_733,329,150,495,527,151,802,534,221,539
ID_orf19_7330_Name_orf19_7330_Note_Ortholog_s__have_cytosol_localization_orf_classification_Uncharacterized_Alias_PET18_IPF1983_1_Contig4-3033_0015_orf6_8411_CA5566_CaO19_7330,25,5,16,3,1,4,10,2,14
